type,n,deg,ple,T,d,s1,s2,s3,rep,time,branches,root_size,root_gap,root_time,lower,upper,solved,opt,adds,dels
n,100,10,2.9,0,2,12951353,613351,90192581,0,1228,0,1,0,1228,256,259,1,259,27,232
n,100,10,2.9,0,2,12951464,613462,90192692,1,1524,0,1,0,1523,293,297,1,297,23,274
n,100,10,2.9,0,2,12951572,613570,90192800,2,1096,0,1,0,1095,299,301,1,301,37,264
n,100,10,2.9,0,2,12951681,613679,90192909,3,28138,13,88,8,6484,323,331,1,331,24,307
n,100,10,2.9,0,2,12951787,613785,90193015,4,191315,99,87,12,10684,332,344,1,344,20,324
n,100,10,2.9,0,2,12951894,613892,90193122,5,3272,1,43,3,3122,293,298,1,298,26,272
n,100,10,2.9,0,2,12951998,613996,90193226,6,5978,0,1,0,5978,310,323,1,323,24,299
n,100,10,2.9,0,2,12952103,614101,90193331,7,1390,0,1,0,1390,285,288,1,288,24,264
n,100,10,2.9,0,2,12952205,614203,90193433,8,5344,0,1,0,5344,309,318,1,318,28,290
n,100,10,2.9,0,2,12952308,614306,90193536,9,1351,0,1,0,1351,284,289,1,289,16,273
n,110,10,2.9,0,2,12952408,614406,90193636,0,2581,0,1,0,2581,289,296,1,296,25,271
n,110,10,2.9,0,2,12952509,614507,90193737,1,48828,23,98,7,8086,333,342,1,342,25,317
n,110,10,2.9,0,2,12952611,614609,90193839,2,73782,64,95,7,8925,329,338,1,338,33,305
n,110,10,2.9,0,2,12952714,614712,90193942,3,1876,0,1,0,1876,308,312,1,312,32,280
n,110,10,2.9,0,2,12952810,614808,90194038,4,2653,0,1,0,2653,312,315,1,315,17,298
n,110,10,2.9,0,2,12952907,614905,90194135,5,4711,4,52,4,4193,326,333,1,333,25,308
n,110,10,2.9,0,2,12953005,615003,90194233,6,1383,0,1,0,1383,340,343,1,343,31,312
n,110,10,2.9,0,2,12953104,615102,90194332,7,36222,34,84,7,6747,310,319,1,319,42,277
n,110,10,2.9,0,2,12953212,615210,90194440,8,11482,2,86,6,5597,324,334,1,334,42,292
n,110,10,2.9,0,2,12953321,615319,90194549,9,17424,0,1,0,17423,344,353,1,353,18,335
n,120,10,2.9,0,2,12953435,615433,90194663,0,72656,23,107,10,13958,382,393,1,393,41,352
n,120,10,2.9,0,2,12953550,615548,90194778,1,359363,188,110,9,8874,375,383,1,383,38,345
n,120,10,2.9,0,2,12953662,615660,90194890,2,4492,0,1,0,4492,354,359,1,359,45,314
n,120,10,2.9,0,2,12953775,615773,90195003,3,855,0,1,0,855,358,358,1,358,37,321
n,120,10,2.9,0,2,12953893,615891,90195121,4,34721,9,99,8,10075,369,377,1,377,21,356
n,120,10,2.9,0,2,12954012,616010,90195240,5,1941,0,1,0,1941,387,393,1,393,44,349
n,120,10,2.9,0,2,12954128,616126,90195356,6,3525,0,1,0,3525,326,331,1,331,37,294
n,120,10,2.9,0,2,12954245,616243,90195473,7,61272,4,99,7,31465,390,399,1,399,33,366
n,120,10,2.9,0,2,12954367,616365,90195595,8,33004,45,94,9,10793,338,348,1,348,31,317
n,120,10,2.9,0,2,12954490,616488,90195718,9,10422,0,1,0,10422,350,356,1,356,27,329
n,130,10,2.9,0,2,12954626,616624,90195854,0,1705,0,1,0,1705,358,362,1,362,42,320
n,130,10,2.9,0,2,12954763,616761,90195991,1,8797,0,1,0,8797,384,390,1,390,22,368
n,130,10,2.9,0,2,12954901,616899,90196129,2,92415,47,116,11,10685,390,401,1,401,48,353
n,130,10,2.9,0,2,12955040,617038,90196268,3,98110,32,112,11,10567,404,414,1,414,54,360
n,130,10,2.9,0,2,12955180,617178,90196408,4,3067,0,1,0,3067,373,377,1,377,42,335
n,130,10,2.9,0,2,12955321,617319,90196549,5,49203,23,97,7,9575,409,417,1,417,46,371
n,130,10,2.9,0,2,12955463,617461,90196691,6,6033,0,1,0,6032,398,403,1,403,42,361
n,130,10,2.9,0,2,12955606,617604,90196834,7,7342,0,1,0,7342,398,405,1,405,39,366
n,130,10,2.9,0,2,12955734,617732,90196962,8,94200,54,118,8,16507,414,420,1,420,34,386
n,130,10,2.9,0,2,12955863,617861,90197091,9,41802,20,102,7,9527,378,386,1,386,35,351
n,140,10,2.9,0,2,12955997,617995,90197225,0,4972,0,1,0,4972,438,446,1,446,35,411
n,140,10,2.9,0,2,12956132,618130,90197360,1,44214,12,126,6,11395,438,443,1,443,27,416
n,140,10,2.9,0,2,12956264,618262,90197492,2,392550,125,129,11,12083,460,470,1,470,48,422
n,140,10,2.9,0,2,12956397,618395,90197625,3,6709,0,1,0,6709,396,407,1,407,54,353
n,140,10,2.9,0,2,12956527,618525,90197755,4,418207,231,133,10,8125,412,422,1,422,50,372
n,140,10,2.9,0,2,12956658,618656,90197886,5,899940,309,122,14,15564,485,496,1,496,56,440
n,140,10,2.9,0,2,12956786,618784,90198014,6,3600095,1501,124,17,9350,450,472,0,1000000000,9035,0
n,140,10,2.9,0,2,12956915,618913,90198143,7,1272,0,1,0,1272,358,360,1,360,50,310
n,140,10,2.9,0,2,12957057,619055,90198285,8,2639,0,1,0,2639,404,409,1,409,44,365
n,140,10,2.9,0,2,12957200,619198,90198428,9,285825,204,132,11,5941,388,396,1,396,42,354
n,150,10,2.9,0,2,12957356,619354,90198584,0,6129,0,1,0,6129,455,463,1,463,32,431
n,150,10,2.9,0,2,12957513,619511,90198741,1,109758,30,137,9,16500,473,485,1,485,45,440
n,150,10,2.9,0,2,12957671,619669,90198899,2,7860,0,1,0,7860,417,424,1,424,28,396
n,150,10,2.9,0,2,12957830,619828,90199058,3,22884,13,114,6,10879,413,418,1,418,43,375
n,150,10,2.9,0,2,12957982,619980,90199210,4,2128,0,1,0,2128,448,451,1,451,32,419
n,150,10,2.9,0,2,12958135,620133,90199363,5,177031,55,135,12,17269,474,485,1,485,50,435
n,150,10,2.9,0,2,12958289,620287,90199517,6,399536,101,126,9,44754,463,476,1,476,42,434
n,150,10,2.9,0,2,12958444,620442,90199672,7,103267,47,132,7,10190,441,450,1,450,52,398
n,150,10,2.9,0,2,12958592,620590,90199820,8,44477,28,111,5,28244,475,484,1,484,38,446
n,150,10,2.9,0,2,12958741,620739,90199969,9,22001,2,30,2,21919,490,502,1,502,34,468
n,160,10,2.9,0,2,12958911,620909,90200139,0,9319,1,23,1,9310,486,492,1,492,43,449
n,160,10,2.9,0,2,12959082,621080,90200310,1,79102,4,30,2,78742,506,515,1,515,35,480
n,160,10,2.9,0,2,12959250,621248,90200478,2,2864,0,1,0,2864,495,497,1,497,44,453
n,160,10,2.9,0,2,12959419,621417,90200647,3,2380,4,40,2,2291,435,439,1,439,58,381
n,160,10,2.9,0,2,12959593,621591,90200821,4,76604,18,138,10,17786,493,501,1,501,44,457
n,160,10,2.9,0,2,12959768,621766,90200996,5,46043,14,123,10,19994,470,478,1,478,48,430
n,160,10,2.9,0,2,12959940,621938,90201168,6,241318,58,144,11,19235,475,486,1,486,29,457
n,160,10,2.9,0,2,12960113,622111,90201341,7,28100,39,110,8,6466,464,471,1,471,65,406
n,160,10,2.9,0,2,12960275,622273,90201503,8,35560,10,129,6,14824,466,472,1,472,46,426
n,160,10,2.9,0,2,12960438,622436,90201666,9,631658,203,145,13,14547,480,491,1,491,47,444
n,170,10,2.9,0,2,12960598,622596,90201826,0,191838,29,145,9,37197,554,568,1,568,39,529
n,170,10,2.9,0,2,12960759,622757,90201987,1,26951,14,132,5,11203,500,505,1,505,43,462
n,170,10,2.9,0,2,12960921,622919,90202149,2,6144,0,1,0,6144,477,482,1,482,46,436
n,170,10,2.9,0,2,12961084,623082,90202312,3,22510,1,65,4,22276,502,509,1,509,40,469
n,170,10,2.9,0,2,12961248,623246,90202476,4,15228,0,1,0,15228,526,533,1,533,45,488
n,170,10,2.9,0,2,12961413,623411,90202641,5,59780,6,134,5,43350,551,561,1,561,41,520
n,170,10,2.9,0,2,12961579,623577,90202807,6,42683,28,141,8,18150,510,517,1,517,61,456
n,170,10,2.9,0,2,12961746,623744,90202974,7,16920,0,1,0,16920,532,539,1,539,41,498
n,170,10,2.9,0,2,12961914,623912,90203142,8,85256,23,145,9,20609,507,517,1,517,36,481
n,170,10,2.9,0,2,12962083,624081,90203311,9,388011,323,150,11,16790,516,524,1,524,53,471
n,180,10,2.9,0,2,12962273,624271,90203501,0,249000,60,148,11,27833,512,524,1,524,66,458
n,180,10,2.9,0,2,12962464,624462,90203692,1,4077,0,1,0,4077,545,549,1,549,73,476
n,180,10,2.9,0,2,12962652,624650,90203880,2,1358410,259,160,12,20041,557,573,1,573,58,515
n,180,10,2.9,0,2,12962841,624839,90204069,3,25657,8,89,5,22998,512,522,1,522,36,486
n,180,10,2.9,0,2,12963027,625025,90204255,4,126278,48,158,9,21391,529,538,1,538,46,492
n,180,10,2.9,0,2,12963214,625212,90204442,5,88833,28,152,7,21211,534,542,1,542,61,481
n,180,10,2.9,0,2,12963398,625396,90204626,6,53277,22,134,8,24632,542,550,1,550,59,491
n,180,10,2.9,0,2,12963583,625581,90204811,7,141440,36,156,10,16449,558,568,1,568,48,520
n,180,10,2.9,0,2,12963765,625763,90204993,8,4536,0,1,0,4536,554,561,1,561,58,503
n,180,10,2.9,0,2,12963948,625946,90205176,9,2461,0,1,0,2461,513,517,1,517,53,464
n,190,10,2.9,0,2,12964128,626126,90205356,0,3600261,406,176,24,28900,652,673,0,1000000000,16984,0
n,190,10,2.9,0,2,12964309,626307,90205537,1,8712,0,1,0,8712,556,561,1,561,58,503
n,190,10,2.9,0,2,12964491,626489,90205719,2,4811,0,1,0,4811,576,581,1,581,58,523
n,190,10,2.9,0,2,12964674,626672,90205902,3,60169,17,88,5,54671,580,590,1,590,76,514
n,190,10,2.9,0,2,12964850,626848,90206078,4,3600107,892,161,14,25889,604,618,0,1000000000,16985,0
n,190,10,2.9,0,2,12965027,627025,90206255,5,8641,0,1,0,8641,574,581,1,581,76,505
n,190,10,2.9,0,2,12965205,627203,90206433,6,186685,117,142,8,20994,540,549,1,549,47,502
n,190,10,2.9,0,2,12965384,627382,90206612,7,13697,0,1,0,13697,597,606,1,606,61,545
n,190,10,2.9,0,2,12965572,627570,90206800,8,8866,4,29,1,8817,544,549,1,549,47,502
n,190,10,2.9,0,2,12965761,627759,90206989,9,116132,47,166,10,15474,538,548,1,548,79,469
n,200,10,2.9,0,2,12965955,627953,90207183,0,3600461,801,180,19,19408,615,633,0,1000000000,18912,0
n,200,10,2.9,0,2,12966150,628148,90207378,1,3600293,666,181,18,22511,646,663,0,1000000000,18869,0
n,200,10,2.9,0,2,12966342,628340,90207570,2,21741,0,1,0,21741,614,624,1,624,40,584
n,200,10,2.9,0,2,12966535,628533,90207763,3,81317,6,174,7,37418,611,618,1,618,62,556
n,200,10,2.9,0,2,12966733,628731,90207961,4,3600576,901,171,16,18450,595,611,0,1000000000,18951,0
n,200,10,2.9,0,2,12966932,628930,90208160,5,114939,26,157,9,37871,584,599,1,599,52,547
n,200,10,2.9,0,2,12967128,629126,90208356,6,1097685,271,178,11,42678,619,630,1,630,54,576
n,200,10,2.9,0,2,12967325,629323,90208553,7,1606284,580,182,14,22153,582,593,1,593,61,532
n,200,10,2.9,0,2,12967527,629525,90208755,8,8844,7,53,5,8275,640,645,1,645,60,585
n,200,10,2.9,0,2,12967730,629728,90208958,9,102224,12,160,7,35111,579,590,1,590,45,545
grid,150,7,2.9,0,2,12967875,629873,90209103,0,1364,0,1,0,1364,304,309,1,309,22,287
grid,150,7,2.9,0,2,12968019,630017,90209247,1,1443,0,1,0,1443,310,314,1,314,24,290
grid,150,7,2.9,0,2,12968166,630164,90209394,2,12528,9,108,6,6630,292,299,1,299,29,270
grid,150,7,2.9,0,2,12968312,630310,90209540,3,4518,0,1,0,4518,261,267,1,267,27,240
grid,150,7,2.9,0,2,12968461,630459,90209689,4,10054,10,77,5,6582,288,296,1,297,25,272
grid,150,7,2.9,0,2,12968609,630607,90209837,5,1927,0,1,0,1927,345,349,1,349,39,310
grid,150,7,2.9,0,2,12968760,630758,90209988,6,6129,5,91,3,4576,284,292,1,292,40,252
grid,150,7,2.9,0,2,12968910,630908,90210138,7,29629,25,102,6,10750,319,326,1,326,35,291
grid,150,7,2.9,0,2,12969063,631061,90210291,8,2204,0,1,0,2204,326,329,1,329,32,297
grid,150,7,2.9,0,2,12969215,631213,90210443,9,1887,0,1,0,1887,284,288,1,288,24,264
grid,150,7,2.9,0.2,2,12969360,631358,90210588,0,10819,0,1,0,10819,313,320,1,320,30,290
grid,150,7,2.9,0.2,2,12969504,631502,90210732,1,1825,1,30,3,1723,284,290,1,290,36,254
grid,150,7,2.9,0.2,2,12969651,631649,90210879,2,2005,0,1,0,2005,328,331,1,331,21,310
grid,150,7,2.9,0.2,2,12969797,631795,90211025,3,537484,784,127,13,7871,336,348,1,348,23,325
grid,150,7,2.9,0.2,2,12969946,631944,90211174,4,73159,36,130,11,12337,335,343,1,343,17,326
grid,150,7,2.9,0.2,2,12970094,632092,90211322,5,26224,49,117,10,6353,289,295,1,295,38,257
grid,150,7,2.9,0.2,2,12970245,632243,90211473,6,1757,0,1,0,1757,344,348,1,348,29,319
grid,150,7,2.9,0.2,2,12970395,632393,90211623,7,1019,0,1,0,1019,284,286,1,286,35,251
grid,150,7,2.9,0.2,2,12970548,632546,90211776,8,1742,0,1,0,1742,294,298,1,298,26,272
grid,150,7,2.9,0.2,2,12970700,632698,90211928,9,28588,20,115,6,9388,329,336,1,336,35,301
grid,150,7,2.9,0.4,2,12970845,632843,90212073,0,3126,0,1,0,3126,321,324,1,324,21,303
grid,150,7,2.9,0.4,2,12970989,632987,90212217,1,1414,0,1,0,1414,300,303,1,303,28,275
grid,150,7,2.9,0.4,2,12971136,633134,90212364,2,99907,49,134,10,7510,362,371,1,371,40,331
grid,150,7,2.9,0.4,2,12971282,633280,90212510,3,9598,11,74,3,8578,338,344,1,344,40,304
grid,150,7,2.9,0.4,2,12971431,633429,90212659,4,9961,0,1,0,9961,337,346,1,346,32,314
grid,150,7,2.9,0.4,2,12971579,633577,90212807,5,600081,155,126,12,16571,362,377,0,1000000000,10664,0
grid,150,7,2.9,0.4,2,12971730,633728,90212958,6,2044,0,1,0,2044,322,327,1,327,24,303
grid,150,7,2.9,0.4,2,12971880,633878,90213108,7,164145,272,139,10,6181,317,328,1,328,27,301
grid,150,7,2.9,0.4,2,12972033,634031,90213261,8,32270,31,139,6,6441,339,345,1,345,43,302
grid,150,7,2.9,0.4,2,12972185,634183,90213413,9,5802,0,1,0,5802,318,326,1,326,40,286
grid,150,7,2.9,0.6,2,12972330,634328,90213558,0,294208,498,145,8,4106,330,337,1,337,13,324
grid,150,7,2.9,0.6,2,12972474,634472,90213702,1,267237,377,145,10,5102,351,362,1,362,21,341
grid,150,7,2.9,0.6,2,12972621,634619,90213849,2,239713,393,147,10,3755,343,350,1,350,29,321
grid,150,7,2.9,0.6,2,12972767,634765,90213995,3,600108,373,146,11,5959,383,399,0,1000000000,10617,0
