graph,n,m,degree,frequency
exact001.gr,10,11,0,2
exact001.gr,10,11,1,2
exact001.gr,10,11,2,1
exact001.gr,10,11,3,3
exact001.gr,10,11,4,1
exact001.gr,10,11,5,1
exact003.gr,20,73,1,1
exact003.gr,20,73,2,1
exact003.gr,20,73,4,1
exact003.gr,20,73,5,3
exact003.gr,20,73,6,1
exact003.gr,20,73,7,2
exact003.gr,20,73,8,5
exact003.gr,20,73,9,2
exact003.gr,20,73,10,2
exact003.gr,20,73,11,1
exact003.gr,20,73,15,1
exact005.gr,20,97,1,1
exact005.gr,20,97,2,1
exact005.gr,20,97,7,2
exact005.gr,20,97,8,3
exact005.gr,20,97,9,2
exact005.gr,20,97,11,2
exact005.gr,20,97,12,5
exact005.gr,20,97,13,3
exact005.gr,20,97,14,1
exact007.gr,30,147,2,1
exact007.gr,30,147,3,1
exact007.gr,30,147,5,2
exact007.gr,30,147,6,3
exact007.gr,30,147,8,4
exact007.gr,30,147,9,1
exact007.gr,30,147,10,3
exact007.gr,30,147,11,2
exact007.gr,30,147,12,5
exact007.gr,30,147,13,5
exact007.gr,30,147,14,2
exact007.gr,30,147,15,1
exact009.gr,30,175,6,2
exact009.gr,30,175,7,1
exact009.gr,30,175,8,2
exact009.gr,30,175,9,2
exact009.gr,30,175,10,4
exact009.gr,30,175,11,4
exact009.gr,30,175,12,3
exact009.gr,30,175,13,3
exact009.gr,30,175,14,2
exact009.gr,30,175,15,5
exact009.gr,30,175,16,1
exact009.gr,30,175,19,1
exact011.gr,30,291,8,1
exact011.gr,30,291,9,2
exact011.gr,30,291,10,1
exact011.gr,30,291,15,2
exact011.gr,30,291,16,3
exact011.gr,30,291,18,1
exact011.gr,30,291,19,1
exact011.gr,30,291,20,2
exact011.gr,30,291,21,2
exact011.gr,30,291,22,7
exact011.gr,30,291,23,2
exact011.gr,30,291,24,2
exact011.gr,30,291,25,3
exact011.gr,30,291,26,1
exact013.gr,40,297,8,1
exact013.gr,40,297,9,6
exact013.gr,40,297,10,2
exact013.gr,40,297,11,3
exact013.gr,40,297,12,3
exact013.gr,40,297,13,4
exact013.gr,40,297,14,4
exact013.gr,40,297,15,2
exact013.gr,40,297,18,2
exact013.gr,40,297,19,5
exact013.gr,40,297,20,4
exact013.gr,40,297,21,1
exact013.gr,40,297,23,1
exact013.gr,40,297,25,2
exact015.gr,40,360,8,1
exact015.gr,40,360,9,1
exact015.gr,40,360,12,2
exact015.gr,40,360,13,2
exact015.gr,40,360,14,1
exact015.gr,40,360,15,3
exact015.gr,40,360,16,4
exact015.gr,40,360,17,3
exact015.gr,40,360,18,3
exact015.gr,40,360,19,5
exact015.gr,40,360,20,5
exact015.gr,40,360,21,2
exact015.gr,40,360,22,2
exact015.gr,40,360,23,2
exact015.gr,40,360,24,2
exact015.gr,40,360,25,2
exact017.gr,50,385,7,2
exact017.gr,50,385,8,3
exact017.gr,50,385,9,2
exact017.gr,50,385,10,1
exact017.gr,50,385,11,3
exact017.gr,50,385,12,3
exact017.gr,50,385,13,6
exact017.gr,50,385,14,1
exact017.gr,50,385,15,6
exact017.gr,50,385,16,2
exact017.gr,50,385,17,3
exact017.gr,50,385,18,4
exact017.gr,50,385,19,3
exact017.gr,50,385,20,2
exact017.gr,50,385,21,1
exact017.gr,50,385,22,5
exact017.gr,50,385,23,2
exact017.gr,50,385,24,1
exact019.gr,50,489,6,1
exact019.gr,50,489,9,2
exact019.gr,50,489,10,1
exact019.gr,50,489,11,1
exact019.gr,50,489,12,2
exact019.gr,50,489,13,1
exact019.gr,50,489,14,3
exact019.gr,50,489,15,2
exact019.gr,50,489,16,3
exact019.gr,50,489,17,2
exact019.gr,50,489,18,10
exact019.gr,50,489,19,2
exact019.gr,50,489,20,1
exact019.gr,50,489,22,4
exact019.gr,50,489,23,1
exact019.gr,50,489,25,2
exact019.gr,50,489,26,3
exact019.gr,50,489,27,1
exact019.gr,50,489,28,2
exact019.gr,50,489,29,1
exact019.gr,50,489,30,3
exact019.gr,50,489,31,1
exact019.gr,50,489,32,1
exact021.gr,50,872,18,1
exact021.gr,50,872,21,1
exact021.gr,50,872,23,1
exact021.gr,50,872,24,3
exact021.gr,50,872,25,1
exact021.gr,50,872,26,1
exact021.gr,50,872,27,1
exact021.gr,50,872,29,1
exact021.gr,50,872,30,1
exact021.gr,50,872,31,2
exact021.gr,50,872,32,2
exact021.gr,50,872,33,4
exact021.gr,50,872,34,3
exact021.gr,50,872,35,2
exact021.gr,50,872,36,3
exact021.gr,50,872,37,5
exact021.gr,50,872,38,1
exact021.gr,50,872,39,2
exact021.gr,50,872,40,2
exact021.gr,50,872,41,6
exact021.gr,50,872,42,2
exact021.gr,50,872,43,1
exact021.gr,50,872,44,1
exact021.gr,50,872,45,2
exact021.gr,50,872,47,1
exact023.gr,60,676,6,1
exact023.gr,60,676,7,1
exact023.gr,60,676,8,2
exact023.gr,60,676,10,2
exact023.gr,60,676,12,1
exact023.gr,60,676,13,1
exact023.gr,60,676,15,4
exact023.gr,60,676,16,3
exact023.gr,60,676,17,2
exact023.gr,60,676,18,2
exact023.gr,60,676,19,4
exact023.gr,60,676,20,1
exact023.gr,60,676,21,3
exact023.gr,60,676,22,1
exact023.gr,60,676,24,5
exact023.gr,60,676,25,3
exact023.gr,60,676,26,1
exact023.gr,60,676,27,5
exact023.gr,60,676,28,5
