graph,n,m,degree,frequency
heur001.gr,10,31,4,1
heur001.gr,10,31,5,1
heur001.gr,10,31,6,4
heur001.gr,10,31,7,3
heur001.gr,10,31,8,1
heur003.gr,120,2588,14,1
heur003.gr,120,2588,16,2
heur003.gr,120,2588,17,1
heur003.gr,120,2588,19,1
heur003.gr,120,2588,20,1
heur003.gr,120,2588,21,1
heur003.gr,120,2588,23,4
heur003.gr,120,2588,24,3
heur003.gr,120,2588,25,2
heur003.gr,120,2588,26,1
heur003.gr,120,2588,27,2
heur003.gr,120,2588,28,2
heur003.gr,120,2588,29,5
heur003.gr,120,2588,30,2
heur003.gr,120,2588,31,4
heur003.gr,120,2588,32,4
heur003.gr,120,2588,33,2
heur003.gr,120,2588,35,3
heur003.gr,120,2588,36,1
heur003.gr,120,2588,37,2
heur003.gr,120,2588,38,2
heur003.gr,120,2588,39,3
heur003.gr,120,2588,40,4
heur003.gr,120,2588,41,1
heur003.gr,120,2588,42,2
heur003.gr,120,2588,43,4
heur003.gr,120,2588,44,2
heur003.gr,120,2588,45,2
heur003.gr,120,2588,47,3
heur003.gr,120,2588,48,3
heur003.gr,120,2588,50,5
heur003.gr,120,2588,51,6
heur003.gr,120,2588,52,5
heur003.gr,120,2588,53,6
heur003.gr,120,2588,54,3
heur003.gr,120,2588,55,3
heur003.gr,120,2588,57,3
heur003.gr,120,2588,58,2
heur003.gr,120,2588,59,4
heur003.gr,120,2588,60,1
heur003.gr,120,2588,62,2
heur003.gr,120,2588,64,3
heur003.gr,120,2588,67,1
heur003.gr,120,2588,68,1
heur003.gr,120,2588,69,3
heur003.gr,120,2588,70,1
heur003.gr,120,2588,80,1
heur005.gr,160,4015,23,1
heur005.gr,160,4015,25,1
heur005.gr,160,4015,27,1
heur005.gr,160,4015,30,1
heur005.gr,160,4015,31,1
heur005.gr,160,4015,32,3
heur005.gr,160,4015,33,2
heur005.gr,160,4015,34,6
heur005.gr,160,4015,35,5
heur005.gr,160,4015,36,2
heur005.gr,160,4015,37,2
heur005.gr,160,4015,38,4
heur005.gr,160,4015,39,3
heur005.gr,160,4015,40,10
heur005.gr,160,4015,41,5
heur005.gr,160,4015,42,4
heur005.gr,160,4015,43,2
heur005.gr,160,4015,44,3
heur005.gr,160,4015,45,5
heur005.gr,160,4015,46,5
heur005.gr,160,4015,47,7
heur005.gr,160,4015,48,4
heur005.gr,160,4015,49,5
heur005.gr,160,4015,50,5
heur005.gr,160,4015,51,1
heur005.gr,160,4015,52,3
heur005.gr,160,4015,53,3
heur005.gr,160,4015,54,7
heur005.gr,160,4015,55,6
heur005.gr,160,4015,56,5
heur005.gr,160,4015,57,2
heur005.gr,160,4015,58,5
heur005.gr,160,4015,59,2
heur005.gr,160,4015,60,4
heur005.gr,160,4015,61,3
heur005.gr,160,4015,62,4
heur005.gr,160,4015,63,2
heur005.gr,160,4015,65,5
heur005.gr,160,4015,66,1
heur005.gr,160,4015,67,3
heur005.gr,160,4015,68,3
heur005.gr,160,4015,69,1
heur005.gr,160,4015,70,3
heur005.gr,160,4015,72,6
heur005.gr,160,4015,73,1
heur005.gr,160,4015,74,2
heur005.gr,160,4015,75,1
heur007.gr,200,6731,24,4
heur007.gr,200,6731,26,1
heur007.gr,200,6731,29,1
heur007.gr,200,6731,31,1
heur007.gr,200,6731,34,3
heur007.gr,200,6731,35,2
heur007.gr,200,6731,36,2
heur007.gr,200,6731,37,1
heur007.gr,200,6731,38,4
heur007.gr,200,6731,40,1
heur007.gr,200,6731,41,1
heur007.gr,200,6731,42,3
heur007.gr,200,6731,43,3
heur007.gr,200,6731,44,3
heur007.gr,200,6731,45,4
heur007.gr,200,6731,46,6
heur007.gr,200,6731,47,2
heur007.gr,200,6731,48,7
heur007.gr,200,6731,50,3
heur007.gr,200,6731,52,3
heur007.gr,200,6731,53,3
heur007.gr,200,6731,54,5
heur007.gr,200,6731,55,4
heur007.gr,200,6731,56,3
heur007.gr,200,6731,57,2
heur007.gr,200,6731,58,3
heur007.gr,200,6731,59,2
heur007.gr,200,6731,60,6
heur007.gr,200,6731,61,1
heur007.gr,200,6731,62,1
heur007.gr,200,6731,63,6
heur007.gr,200,6731,64,7
heur007.gr,200,6731,65,4
heur007.gr,200,6731,66,3
heur007.gr,200,6731,67,5
heur007.gr,200,6731,68,3
heur007.gr,200,6731,69,2
heur007.gr,200,6731,70,1
heur007.gr,200,6731,71,2
heur007.gr,200,6731,72,4
heur007.gr,200,6731,73,2
heur007.gr,200,6731,74,1
heur007.gr,200,6731,75,3
heur007.gr,200,6731,76,3
heur007.gr,200,6731,77,4
heur007.gr,200,6731,78,2
heur007.gr,200,6731,79,3
heur007.gr,200,6731,80,4
heur007.gr,200,6731,81,1
heur007.gr,200,6731,82,5
heur007.gr,200,6731,83,5
heur007.gr,200,6731,84,3
heur007.gr,200,6731,85,1
heur007.gr,200,6731,89,5
heur007.gr,200,6731,90,1
heur007.gr,200,6731,91,3
heur007.gr,200,6731,92,2
heur007.gr,200,6731,93,3
heur007.gr,200,6731,94,4
heur007.gr,200,6731,96,2
