num,n,m,solved,opt,upper,dels,adds,low_star,low_p3,time,branches,dist4+,n-clean,after all reds,forbs all reds,time all reds,spend all reds,lower after all reds,after force p3,forbs force p3,time force p3,spend force p3,lower after force p3,after force star,forbs force star,time force star,spend force star,lower after force star,after twin simple,forbs twin simple,time twin simple,spend twin simple,lower after twin simple,after twin complex,forbs twin complex,time twin complex,spend twin complex,lower after twin complex,after icx,forbs icx,time icx,spend icx,lower after icx,after heavy edge (b),forbs heavy edge (b),time heavy edge (b),spend heavy edge (b),lower after heavy edge (b),after heavy edge (s),forbs heavy edge (s),time heavy edge (s),spend heavy edge (s),lower after heavy edge (s),after heavy non-edge,forbs heavy non-edge,time heavy non-edge,spend heavy non-edge,lower after heavy non-edge,after forced single merge,forbs forced single merge,time forced single merge,spend forced single merge,lower after forced single merge
1,10,11,1,3,3,3,0,3,3,2,0,0,6,0,0,0,3,3,0,0,0,3,3,0,0,0,3,3,5,0,0,0,3,0,0,0,3,3,0,0,0,3,3,6,0,0,0,3,6,0,0,0,3,6,0,0,0,3,0,0,0,3,3
2,20,68,1,7,7,7,0,7,7,3,0,73,20,0,0,0,7,7,0,0,0,7,7,0,0,1,7,7,12,13,0,0,7,0,0,0,7,7,0,0,0,7,7,20,73,0,0,7,20,73,0,0,7,20,73,0,0,7,0,0,2,7,7
3,20,73,1,42,42,35,7,40,35,213,4,25,20,20,41,50,0,40,20,25,0,0,40,20,38,9,0,40,20,25,0,0,40,20,25,0,0,40,20,25,0,0,40,20,25,0,0,40,20,25,0,0,40,20,29,0,0,40,20,25,29,0,40
4,20,75,1,32,32,21,11,32,32,10,0,21,20,0,0,0,32,32,0,0,0,32,32,0,0,2,32,32,19,15,0,0,32,18,15,0,1,32,20,21,0,0,32,20,21,0,0,32,20,21,0,0,32,20,21,0,0,32,0,0,12,32,32
5,20,97,1,46,46,39,7,41,44,61,0,21,20,0,0,21,46,46,20,29,0,0,41,18,8,13,1,44,20,21,0,0,41,16,0,0,3,44,20,21,0,0,41,18,0,0,1,44,18,0,0,1,44,20,22,0,0,41,19,20,38,3,43
6,20,113,1,9,9,8,1,9,9,5,0,18,20,0,0,0,9,9,0,0,0,9,9,0,0,2,9,9,10,1,0,0,9,0,0,0,9,9,0,0,1,9,9,20,18,0,0,9,20,18,0,0,9,20,18,0,0,9,0,0,3,9,9
7,30,147,1,86,86,76,10,81,72,1976,6,52,30,30,56,174,0,81,30,52,0,0,81,30,56,44,0,81,30,52,0,0,81,30,52,0,0,81,30,52,0,0,81,30,52,0,0,81,30,52,0,0,81,30,52,0,0,81,30,52,129,0,81
8,30,172,1,81,81,70,11,81,79,126,0,19,30,0,0,2,81,81,0,0,2,81,81,0,0,15,81,81,30,19,0,0,81,29,19,0,1,81,30,19,0,0,81,30,19,0,0,81,30,19,0,0,81,30,19,0,0,81,0,0,181,81,81
9,30,175,1,90,90,69,21,88,84,414,0,15,30,0,0,37,90,90,30,15,1,0,88,0,0,33,90,90,30,15,0,0,88,30,15,0,0,88,30,15,0,0,88,30,15,0,0,88,30,15,0,0,88,30,15,0,0,88,0,0,429,90,90
10,30,235,1,16,16,16,0,16,16,7,0,72,30,0,0,0,16,16,0,0,0,16,16,0,0,6,16,16,11,1,0,0,16,0,0,0,16,16,0,0,0,16,16,30,72,0,0,16,30,72,0,0,16,30,72,0,0,16,0,0,16,16,16
11,30,291,1,81,81,67,14,81,81,353,0,0,30,0,0,0,81,81,0,0,0,81,81,0,0,7,81,81,28,0,0,0,81,0,0,0,81,81,30,0,0,0,81,30,0,0,0,81,30,0,0,0,81,30,0,0,0,81,0,0,114,81,81
12,40,283,1,137,137,109,28,137,132,445,0,52,40,0,0,38,137,137,40,152,17,2,137,0,0,27,137,137,40,52,0,0,137,40,52,0,0,137,40,52,0,0,137,40,52,0,0,137,40,52,0,0,137,40,52,0,0,137,0,0,565,137,137
13,40,297,1,181,181,163,18,171,148,50965,205,19,40,40,19,619,0,171,40,19,1,0,171,40,19,60,0,171,40,19,0,0,171,40,19,0,0,171,40,19,0,0,171,40,19,0,0,171,40,19,0,0,171,40,19,0,0,171,40,19,553,0,171
14,40,311,1,79,79,61,18,78,79,171,0,62,40,0,0,1,79,79,0,0,1,79,79,0,0,12,79,79,36,36,0,0,79,22,6,1,36,79,40,62,0,0,78,40,62,0,0,78,40,62,0,0,78,40,62,0,0,78,0,0,183,79,79
15,40,360,1,164,164,122,42,163,158,674,1,7,40,14,40,59,135,160,40,181,13,11,162,14,33,50,134,161,40,7,0,0,163,40,7,0,0,163,40,7,0,0,163,40,7,0,0,163,40,7,0,0,163,40,7,0,0,163,12,2,897,140,162
16,40,430,1,126,126,88,38,126,126,60,0,10,40,0,0,1,126,126,0,0,1,126,126,0,0,27,126,126,40,10,0,0,126,39,10,0,1,126,40,10,0,0,126,40,10,0,0,126,40,10,0,0,126,40,10,0,0,126,0,0,461,126,126
17,50,385,1,236,236,215,21,229,192,37398,61,61,50,50,65,1101,0,229,50,61,3,0,229,50,65,195,0,229,50,61,0,0,229,50,61,0,0,229,50,61,1,0,229,50,61,0,0,229,50,61,0,0,229,50,61,0,0,229,50,61,946,0,229
18,50,446,1,132,132,100,32,132,131,119,0,381,50,0,0,2,132,132,3,1,2,126,132,3,1,22,126,132,42,161,0,0,132,37,15,0,9,132,50,381,0,0,132,50,381,0,0,132,50,381,0,0,132,50,381,0,0,132,3,0,411,126,132
19,50,489,1,298,298,240,58,286,244,99620,164,19,50,50,19,1208,0,286,50,19,4,0,286,50,19,95,0,286,50,19,0,0,286,50,19,0,0,286,50,19,1,0,286,50,19,0,0,286,50,19,0,0,286,50,19,0,0,286,50,19,1129,0,286
20,50,707,1,110,110,108,2,110,110,46,0,0,50,0,0,2,110,110,0,0,2,110,110,0,0,47,110,110,42,0,0,0,110,0,0,1,110,110,50,0,0,0,110,50,0,0,0,110,50,0,0,0,110,50,0,0,0,110,0,0,689,110,110
21,50,872,1,322,322,99,223,321,320,145,0,0,50,0,0,3,322,322,0,0,4,322,322,0,0,52,322,322,50,0,0,0,321,50,0,0,0,321,50,0,0,0,321,50,0,0,0,321,50,0,0,0,321,50,0,0,0,321,0,0,2634,322,322
22,60,618,1,335,335,310,25,333,306,1239,0,26,60,0,0,199,335,335,60,26,13,0,333,3,0,186,334,335,60,26,0,0,333,60,26,0,0,333,60,26,1,0,333,60,26,0,0,333,60,26,1,0,333,60,26,0,0,333,40,22,9425,170,333
23,60,676,1,281,281,224,57,279,279,859,0,134,60,0,0,7,281,281,0,0,7,281,281,0,0,41,281,281,60,134,0,0,279,60,134,0,0,279,60,134,1,0,279,60,134,0,0,279,60,134,1,0,279,60,134,0,0,279,0,0,1528,281,281
24,60,677,1,338,338,260,78,332,318,1259,0,56,60,0,0,556,338,338,60,56,10,0,332,4,2,539,329,338,60,56,0,0,332,60,56,0,0,332,60,56,1,0,332,60,56,0,0,332,60,56,1,0,332,60,56,0,0,332,40,38,4816,166,333
25,60,1053,1,439,439,327,112,439,438,45,0,0,60,0,0,9,439,439,0,0,9,439,439,0,0,103,439,439,60,0,0,0,439,60,0,1,0,439,60,0,1,0,439,60,0,1,0,439,60,0,1,0,439,60,0,0,0,439,0,0,4507,439,439
26,60,1221,1,282,282,256,26,282,282,22,0,0,60,0,0,5,282,282,0,0,6,282,282,0,0,73,282,282,59,0,0,0,282,54,0,2,5,282,60,0,1,0,282,60,0,0,0,282,60,0,0,0,282,60,0,0,0,282,0,0,1439,282,282
27,70,795,1,432,432,390,42,428,393,1763,0,92,70,0,0,383,432,432,70,92,14,0,428,0,0,365,432,432,70,92,1,0,428,70,92,1,0,428,70,92,2,0,428,70,92,1,0,428,70,92,1,0,428,70,92,1,0,428,59,75,8240,123,430
28,70,821,1,460,460,408,52,458,410,612,0,58,70,0,0,485,460,460,70,58,15,0,458,3,1,462,451,460,70,58,1,0,458,70,58,1,0,458,70,58,2,0,458,70,58,1,0,458,70,58,1,0,458,70,58,1,0,458,59,48,10732,124,457
29,70,1011,1,509,509,404,105,507,493,444,0,10,70,0,0,322,509,509,70,10,21,0,507,0,0,320,509,509,70,10,1,0,507,70,10,1,0,507,70,10,2,0,507,70,10,1,0,507,70,10,1,0,507,70,10,1,0,507,7,0,10284,503,509
30,70,1522,1,277,277,145,132,277,277,77,0,69,70,0,0,7,277,277,0,0,8,277,277,0,0,115,277,277,67,59,1,0,277,0,0,6,277,277,70,69,2,0,277,70,69,1,0,277,70,69,1,0,277,70,69,0,0,277,0,0,2084,277,277
31,70,1596,1,285,285,285,0,285,285,27,0,0,70,0,0,7,285,285,0,0,8,285,285,0,0,110,285,285,66,0,1,0,285,0,0,6,285,285,70,0,2,0,285,70,0,1,0,285,70,0,1,0,285,70,0,0,0,285,0,0,1596,285,285
32,80,865,1,515,515,422,93,504,432,489697,238,146,80,80,227,6676,1,502,80,146,17,0,504,80,227,2402,1,502,80,146,1,0,504,80,146,1,0,504,80,146,3,0,504,80,146,1,0,504,80,146,2,0,504,80,146,1,0,504,80,146,3950,0,504
33,80,1348,1,672,672,323,349,671,659,535,0,21,80,0,0,446,672,672,80,21,37,0,671,5,5,415,667,672,80,21,1,0,671,79,13,2,1,669,80,21,4,0,671,80,21,2,0,671,80,21,2,0,671,80,21,2,0,671,7,2,14134,666,672
34,80,1500,1,785,785,564,221,780,744,7239,7,3,80,38,174,2563,564,770,80,3,36,0,780,41,219,1725,535,771,80,3,1,0,780,80,3,2,0,780,80,3,4,0,780,80,3,2,0,780,80,3,2,0,780,80,3,2,0,780,32,3,21290,605,769
35,80,1831,1,385,385,352,33,385,385,39,0,15,80,0,0,12,385,385,0,0,13,385,385,0,0,221,385,385,78,15,1,0,385,0,0,12,385,385,80,15,3,0,385,80,15,1,0,385,80,15,2,0,385,80,15,1,0,385,0,0,3765,385,385
36,80,2127,1,602,602,584,18,602,602,39,0,0,80,0,0,12,602,602,0,0,14,602,602,0,0,152,602,602,80,0,1,0,602,79,0,3,1,602,80,0,3,0,602,80,0,2,0,602,80,0,2,0,602,80,0,1,0,602,0,0,6077,602,602
37,90,1330,1,703,703,588,115,698,638,11218,1,116,90,45,388,9337,465,696,90,116,25,0,698,64,666,4201,280,695,90,116,2,0,698,89,113,3,1,694,90,116,4,0,698,90,116,2,0,698,90,116,3,0,698,90,116,2,0,698,78,105,29185,133,697
38,90,1410,1,860,860,711,149,843,704,3404422,250,84,90,89,78,11390,0,842,90,84,21,0,843,90,84,991,0,843,89,78,2,0,842,89,78,3,0,842,90,84,5,0,843,90,84,2,0,843,90,84,3,0,843,90,84,2,0,843,90,84,10541,0,843
39,90,1456,1,665,665,614,51,665,657,422,0,85,90,0,0,384,665,665,65,498,286,264,660,0,0,383,665,665,90,85,2,0,665,90,85,2,0,665,90,85,4,0,665,90,85,2,0,665,90,85,3,0,665,90,85,2,0,665,4,3,17238,652,665
40,90,2182,1,492,492,486,6,492,491,51,0,7,90,0,0,18,492,492,0,0,19,492,492,0,0,268,492,492,87,7,2,0,492,36,1,10,319,492,90,7,4,0,492,90,7,2,0,492,90,7,2,0,492,90,7,2,0,492,0,0,6342,492,492
41,90,2319,1,184,184,81,103,184,184,36,0,175,90,0,0,9,184,184,0,0,10,184,184,0,0,302,184,184,73,93,2,0,184,0,0,9,184,184,90,175,3,0,184,90,175,1,0,184,90,175,2,0,184,90,175,1,0,184,0,0,2040,184,184
42,100,1563,0,1000000000,1055,0,3387,1006,781,3600707,665,92,100,100,92,16982,0,1006,100,92,27,0,1006,100,92,1706,0,1006,100,92,3,0,1006,100,92,4,0,1006,100,92,7,0,1006,100,92,4,0,1006,100,92,4,0,1006,100,92,3,0,1006,100,92,15366,0,1006
43,100,1624,0,1000000000,984,0,3326,968,811,3601135,652,55,100,100,70,16024,0,966,100,55,30,0,968,100,70,4413,0,966,100,55,3,0,968,100,55,3,0,968,100,55,7,0,968,100,55,3,0,968,100,55,4,0,968,100,55,3,0,968,100,55,12075,0,968
44,100,1829,1,905,905,846,59,902,878,1513,0,4,100,0,0,1468,905,905,100,4,74,0,902,27,100,955,752,895,100,4,2,0,902,100,4,3,0,902,100,4,6,0,902,100,4,3,0,902,100,4,4,0,902,100,4,3,0,902,73,4,49479,357,903
45,100,1981,1,1085,1085,920,165,1073,984,87003,9,4,100,72,106,15109,419,1075,100,4,69,0,1073,72,106,9674,419,1075,100,4,3,0,1073,100,4,4,0,1073,100,4,7,0,1073,100,4,4,0,1073,100,4,4,0,1073,100,4,3,0,1073,87,4,65618,159,1074
46,100,2423,1,814,814,749,65,814,814,71,0,54,100,0,0,34,814,814,0,0,36,814,814,0,0,339,814,814,100,54,2,0,814,100,54,3,0,814,100,54,6,0,814,100,54,3,0,814,100,54,4,0,814,100,54,3,0,814,0,0,14910,814,814
47,100,3274,1,749,749,702,47,749,749,61,0,0,100,0,0,21,749,749,0,0,24,749,749,0,0,382,749,749,95,0,3,0,749,0,0,22,749,749,100,0,5,0,749,100,0,3,0,749,100,0,3,0,749,100,0,2,0,749,0,0,11491,749,749
48,113,881,1,437,437,330,107,432,395,1360,0,3470,113,0,0,583,437,437,113,3470,21,0,432,60,1449,776,364,431,96,2084,3,0,434,75,683,7,46,433,113,3470,7,0,432,113,3470,3,0,432,113,3470,6,0,432,113,3539,3,0,432,73,1731,8287,329,427
49,113,1896,1,854,854,598,256,851,850,955,0,977,113,0,0,111,854,854,7,12,109,851,854,5,4,554,852,854,100,473,5,0,852,96,309,9,13,852,113,977,10,0,851,113,977,5,0,851,113,977,6,0,851,113,995,6,0,851,7,2,30047,851,854
50,113,3848,1,1440,1440,846,594,1440,1439,168,0,2,113,0,0,45,1440,1440,4,3,48,1438,1440,0,0,880,1440,1440,103,1,5,0,1440,101,1,11,3,1439,113,2,12,0,1440,113,2,7,0,1440,113,2,7,0,1440,113,2,5,0,1440,4,0,84248,1438,1440
51,120,2251,0,1000000000,1619,0,4889,1508,1125,3605137,239,117,120,120,117,36847,0,1508,120,117,52,0,1508,120,117,2726,0,1508,120,117,5,0,1508,120,117,6,0,1508,120,117,13,0,1508,120,117,6,0,1508,120,117,8,0,1508,120,117,6,0,1508,120,117,34571,0,1508
52,120,2448,0,1000000000,1473,0,4692,1431,1215,3601275,148,331,120,117,247,35663,3,1427,120,331,70,0,1431,120,331,2620,0,1431,119,296,5,0,1426,117,247,9,3,1427,120,331,12,0,1431,120,331,6,0,1431,120,331,7,0,1431,120,331,5,0,1431,120,331,25532,0,1431
53,120,2588,1,1481,1481,1046,435,1470,1293,317855,6,66,120,96,724,85437,480,1460,120,66,71,0,1470,120,1150,17663,37,1466,120,66,5,0,1470,120,66,6,0,1470,120,66,12,0,1470,120,66,6,0,1470,120,66,7,0,1470,120,66,6,0,1470,86,46,165992,689,1469
54,120,2899,1,1372,1372,975,397,1371,1360,2144,0,140,120,0,0,2081,1372,1372,120,589,824,2,1372,0,0,1210,1372,1372,118,110,4,0,1370,116,80,9,3,1369,120,140,11,0,1371,120,140,6,0,1371,120,140,7,0,1371,120,140,5,0,1371,0,0,77849,1372,1372
55,120,3723,1,1410,1410,1275,135,1404,1395,1690,2,4,120,9,5,1584,1241,1401,45,48,177,975,1384,29,36,1334,1166,1369,120,4,5,0,1404,120,4,6,0,1404,120,4,11,0,1404,120,4,6,0,1404,120,4,7,0,1404,120,4,5,0,1404,41,2,89747,1025,1382
56,120,4877,1,721,721,637,84,721,721,89,0,14,120,0,0,32,721,721,0,0,36,721,721,0,0,877,721,721,113,6,5,0,721,0,0,30,721,721,120,14,9,0,721,120,14,5,0,721,120,14,5,0,721,120,14,4,0,721,0,0,20835,721,721
57,121,486,1,122,122,88,34,122,122,303,0,1821,72,0,0,4,122,122,6,11,3,117,122,6,11,21,117,122,58,1157,0,0,122,11,37,2,113,122,72,1821,1,0,122,72,1821,0,0,122,72,1821,1,0,122,72,1836,0,0,122,23,193,435,105,121
58,121,864,1,210,210,143,67,210,210,391,0,3496,103,0,0,9,210,210,0,0,9,210,210,0,0,71,210,210,85,2235,2,0,210,46,229,6,54,210,103,3496,5,0,210,97,2927,2,2,210,101,3315,4,1,210,103,3563,1,0,210,4,1,1147,207,210
59,121,2174,1,976,976,749,227,974,963,2066,0,1300,121,0,0,1204,976,976,99,853,568,150,976,8,20,1013,970,976,112,955,6,0,974,107,647,11,5,976,121,1300,13,0,974,121,1300,6,0,974,121,1300,8,0,974,121,1300,6,0,974,8,0,46894,969,976
60,124,2288,0,1000000000,1491,0,5338,1427,1139,3601079,168,516,124,119,501,43385,2,1427,124,516,71,0,1427,124,516,2651,0,1427,121,511,6,0,1431,119,460,11,2,1427,124,516,15,0,1427,124,516,7,0,1427,124,516,9,0,1427,124,558,8,0,1427,124,516,31048,0,1427
61,129,613,1,116,116,58,58,116,116,352,0,2118,83,0,0,6,116,116,3,1,4,115,116,3,1,49,115,116,59,892,1,0,116,3,0,3,115,116,83,2118,2,0,116,81,1968,1,0,116,83,2118,1,0,116,83,2202,0,0,116,3,0,466,115,116
62,129,1319,1,469,469,357,112,468,465,846,0,2529,103,0,0,45,469,469,9,28,24,450,469,3,1,255,463,469,89,1492,2,0,468,74,651,6,19,469,103,2529,6,0,468,97,1957,4,2,467,101,2345,5,1,468,103,2622,3,0,468,3,1,10864,463,469
63,129,2476,1,665,665,338,327,662,664,422,0,2262,115,0,0,31,665,665,3,1,39,664,665,3,1,310,664,665,97,1108,4,0,665,4,1,27,657,665,115,2262,10,0,662,112,2006,6,1,664,115,2262,5,0,662,115,2265,4,0,662,10,30,14814,653,665
64,129,3882,1,772,772,359,413,772,771,292,0,1970,127,0,0,35,772,772,3,1,39,770,772,3,1,779,770,772,110,1379,7,0,772,15,1,28,698,772,127,1970,14,0,772,127,1970,7,0,772,127,1970,10,0,772,127,1970,6,0,772,3,0,27367,770,772
65,129,8112,1,128,128,56,72,128,128,99,0,0,129,0,0,18,128,128,0,0,21,128,128,0,0,1334,128,128,43,0,8,0,128,0,0,110,128,128,129,0,8,0,128,129,0,4,0,128,129,0,5,0,128,129,0,3,0,128,0,0,8842,128,128
66,139,1583,1,730,730,568,162,720,700,31355,14,2155,108,48,365,10043,352,709,108,2155,50,0,720,73,1458,1899,335,706,96,1300,3,0,720,79,283,10,16,722,108,2155,8,0,720,102,1534,4,2,721,102,1534,5,2,721,108,2165,4,0,720,94,1867,31415,144,719
67,139,2877,1,792,792,375,417,792,791,687,0,2932,123,0,0,28,792,792,7,14,30,788,792,7,14,426,788,792,108,1856,5,0,792,88,72,12,22,792,123,2932,12,0,792,120,2572,5,1,792,120,2572,8,1,792,123,2933,5,0,792,7,12,18030,788,792
68,139,4513,1,632,632,238,394,630,630,708,0,3843,139,0,0,54,632,632,9,25,46,627,632,7,13,817,628,632,115,2684,10,0,630,27,11,28,458,632,139,3843,18,0,630,139,3843,8,0,630,139,3843,10,0,630,139,3843,7,0,630,9,0,20854,627,632
69,140,2915,0,1000000000,2140,0,6815,1994,1457,3606297,145,33,140,140,33,63329,0,1994,140,33,59,0,1994,140,33,5466,0,1994,140,33,8,0,1994,140,33,10,0,1994,140,33,21,0,1994,140,33,10,0,1994,140,33,12,0,1994,140,33,10,0,1994,140,33,57885,0,1994
70,140,3014,0,1000000000,1792,0,6716,1762,1506,3604581,66,99,140,140,99,37855,0,1762,140,99,84,0,1762,140,99,2706,0,1762,140,99,7,0,1762,140,99,9,0,1762,140,99,18,0,1762,140,99,9,0,1762,140,99,11,0,1762,140,99,9,0,1762,140,99,34917,0,1762
71,140,4298,1,2131,2131,1449,682,2116,2077,18538,0,22,140,0,0,18427,2131,2131,140,22,328,0,2116,13,49,17142,2097,2130,140,22,8,0,2116,140,22,11,0,2116,140,22,20,0,2116,140,22,11,0,2116,140,22,12,0,2116,140,22,9,0,2116,69,20,246744,1687,2128
72,140,4347,1,1967,1967,1632,335,1966,1960,379,0,19,140,0,0,297,1967,1967,0,0,304,1967,1967,0,0,2342,1967,1967,140,19,8,0,1966,140,19,10,0,1966,140,19,19,0,1966,140,19,10,0,1966,140,19,12,0,1966,140,19,9,0,1966,5,0,125622,1959,1967
