can_solve,instance,n,size after reductions,upper-lower
+,1,10,0,0
+,3,20,20,2
+,5,20,12,4
+,7,30,30,5
+,9,30,0,0
+,11,30,0,0
+,13,40,40,13
+,15,40,14,3
+,17,50,50,8
+,19,50,50,16
+,21,50,0,0
+,23,60,0,0
+,25,60,0,0
+,27,70,0,0
+,29,70,7,6
+,31,70,0,0
+,33,80,0,0
+,35,80,0,0
+,37,90,45,7
+,39,90,0,0
+,41,90,0,0
-,43,100,100,27
-,45,100,88,20
+,47,100,0,0
+,49,113,0,0
-,51,120,120,129
-,53,120,116,23
+,55,120,0,0
+,57,121,0,0
+,59,121,7,13
+,61,129,0,0
+,63,129,0,0
+,65,129,0,0
+,67,139,0,0
-,69,140,140,164
+,71,140,52,8
+,73,140,0,0
+,75,144,0,0
+,77,144,0,0
+,79,159,0,0
-,81,159,41,15
-,83,160,160,150
+,85,160,0,0
+,87,160,0,0
+,89,171,0,0
-,91,180,180,208
-,93,180,180,27
+,95,180,0,0
+,97,184,0,0
-,99,184,96,11
-,101,200,200,93
-,103,200,200,222
+,105,200,71,176
+,107,204,77,11
+,109,204,0,0
+,111,204,0,0
+,113,204,0,0
+,115,211,0,0
+,117,211,0,0
+,119,213,0,0
+,121,213,0,0
+,123,215,0,0
+,125,215,0,0
+,127,216,0,0
+,129,216,0,0
+,131,221,5,3
+,133,221,0,0
+,135,232,0,0
+,137,232,0,0
+,139,232,0,0
-,141,250,124,14
+,143,250,60,9
+,145,250,0,0
+,147,250,0,0
+,149,250,0,0
+,151,250,0,0
+,153,250,0,0
+,155,263,0,0
+,157,263,0,0
+,159,263,0,0
+,161,279,5,7
+,163,279,0,0
+,165,279,0,0
-,167,300,300,501
-,169,300,300,231
+,171,300,0,0
+,173,313,0,0
+,175,313,0,0
+,177,313,0,0
-,179,330,203,16
-,181,330,277,65
-,183,330,287,96
+,185,347,0,0
-,187,347,0,0
+,189,347,0,0
-,191,400,400,227
-,193,400,49,12
-,195,620,541,99
-,197,620,423,66
+,199,620,0,0
