can_solve,instance,n,size after reductions,upper-lower
+,1,10,0,0
+,3,20,20,7
+,5,20,15,2
+,7,30,30,14
+,9,30,30,7
+,11,30,0,0
+,13,40,40,38
+,15,40,14,3
+,17,50,50,56
+,19,50,50,66
+,21,50,0,1
+,23,60,0,0
+,25,60,0,0
+,27,70,70,39
+,29,70,70,16
+,31,70,0,0
+,33,80,79,14
+,35,80,0,0
+,37,90,89,65
+,39,90,63,9
+,41,90,0,0
-,43,100,100,174
-,45,100,100,108
+,47,100,0,0
+,49,113,0,0
-,51,120,120,508
-,53,120,120,198
+,55,120,120,43
+,57,121,0,0
+,59,121,92,21
+,61,129,0,0
+,63,129,0,0
+,65,129,0,0
+,67,139,0,0
-,69,140,140,710
+,71,140,140,57
+,73,140,0,0
+,75,144,0,0
+,77,144,0,0
+,79,159,0,0
-,81,159,100,257
-,83,160,160,834
+,85,160,0,0
+,87,160,0,0
+,89,171,51,12
-,91,180,180,1003
-,93,180,180,592
+,95,180,0,0
+,97,184,26,1
-,99,184,104,66
-,101,200,200,834
-,103,200,200,1076
+,105,200,117,40
+,107,204,83,38
+,109,204,0,1
+,111,204,0,0
+,113,204,0,0
+,115,211,20,13
+,117,211,180,62
+,119,213,0,0
+,121,213,0,0
+,123,215,0,0
+,125,215,0,0
+,127,216,0,1
+,129,216,0,0
+,131,221,76,28
+,133,221,0,0
+,135,232,0,0
+,137,232,0,0
+,139,232,34,23
-,141,250,124,86
+,143,250,135,156
+,145,250,20,23
+,147,250,5,1
+,149,250,0,0
+,151,250,0,0
+,153,250,0,0
+,155,263,0,0
+,157,263,70,12
+,159,263,0,0
+,161,279,17,3
+,163,279,0,0
+,165,279,0,0
-,167,300,300,2789
-,169,300,300,1932
+,171,300,0,0
+,173,313,0,0
+,175,313,0,0
+,177,313,0,0
-,179,330,214,46
-,181,330,277,173
-,183,330,289,281
+,185,347,0,0
-,187,347,250,274
+,189,347,23,4
-,191,400,400,3544
-,193,400,400,102
-,195,620,541,569
-,197,620,548,1167
+,199,620,0,0
