# --F P3 --multiplier 1
# --lower-bound WeightedPackingLocalSearch --selector MostAdjacentSubgraphs --search-strategy Exponential --all 1
Graph,k,Total Time [s],Solved
exact001.gr,3,8.4525e-05,True
exact003.gr,42,0.051556067,True
exact005.gr,46,0.021410038,True
exact007.gr,86,3.175835003,True
exact009.gr,90,0.194814346,True
exact011.gr,81,0.004750778,True
exact013.gr,,60,False
exact015.gr,164,0.463185443,True
exact017.gr,,60,False
exact019.gr,,60,False
exact021.gr,322,1.510130849,True
exact023.gr,281,0.203525942,True
exact025.gr,439,2.917937095,True
exact027.gr,,60,False
exact029.gr,,60,False
exact031.gr,285,0.103302349,True
exact033.gr,672,42.383712859,True
exact035.gr,385,0.234264537,True
exact037.gr,,60,False
exact039.gr,665,30.456305481,True
exact041.gr,184,0.086607162,True
exact043.gr,,60,False
exact045.gr,,60,False
exact047.gr,749,0.734948958,True
exact049.gr,854,8.175771029,True
exact051.gr,,60,False
exact053.gr,,60,False
exact055.gr,,60,False
exact057.gr,122,0.020637808,True
exact059.gr,,60,False
exact061.gr,116,0.02971334,True
exact063.gr,665,1.029568378,True
exact065.gr,128,0.060385941,True
exact067.gr,792,1.915795892,True
exact069.gr,,60,False
exact071.gr,,60,False
exact073.gr,1612,7.099442392,True
exact075.gr,132,0.027207362,True
exact077.gr,78,0.011220064,True
exact079.gr,48,0.00433109,True
exact081.gr,,60,False
exact083.gr,,60,False
exact085.gr,1047,4.061029961,True
exact087.gr,,60,False
exact089.gr,534,1.906598412,True
exact091.gr,,60,False
exact093.gr,,60,False
exact095.gr,358,0.407307919,True
exact097.gr,,60,False
exact099.gr,,60,False
exact101.gr,,60,False
exact103.gr,,60,False
exact105.gr,,60,False
exact107.gr,,60,False
exact109.gr,2436,13.041349812,True
exact111.gr,2412,14.970535444,True
exact113.gr,999,2.685800616,True
exact115.gr,306,1.821646515,True
exact117.gr,,60,False
exact119.gr,184,0.042347819,True
exact121.gr,742,0.886137638,True
exact123.gr,416,0.163748351,True
exact125.gr,1413,7.203873419,True
exact127.gr,130,0.055639603,True
exact129.gr,2211,20.056944924,True
exact131.gr,,60,False
exact133.gr,,60,False
exact135.gr,772,0.868943202,True
exact137.gr,16,0.002989377,True
exact139.gr,,60,False
exact141.gr,,60,False
exact143.gr,,60,False
exact145.gr,,60,False
exact147.gr,,60,False
exact149.gr,,60,False
exact151.gr,1258,5.206661039,True
exact153.gr,6,0.005176166,True
exact155.gr,63,0.024059231,True
exact157.gr,,60,False
exact159.gr,1483,4.98688627,True
exact161.gr,333,21.879782522,True
exact163.gr,1538,8.242873531,True
exact165.gr,,60,False
exact167.gr,,60,False
exact169.gr,,60,False
exact171.gr,2901,27.102978182,True
exact173.gr,100,0.07021771,True
exact175.gr,557,1.16118684,True
exact177.gr,,60,False
exact179.gr,,60,False
exact181.gr,,60,False
exact183.gr,,60,False
exact185.gr,203,0.501458644,True
exact187.gr,,60,False
exact189.gr,,60,False
exact191.gr,,60,False
exact193.gr,,60,False
exact195.gr,,60,False
exact197.gr,,60,False
exact199.gr,,60,False
