Graph,Algorithm,n,m,k,l,Permutation,Solved,MT,All Solutions,Time [s],Total Time [s],Time Initialization [s],Threads,Calls,Extra_lbs,Fallbacks,Prunes,Single,Skipped,Stolen,Solutions,Scaling Factor Time,Scaling Factor Calls,Speedup,Efficiency
exact197.gr,FPT-LS-MP,621,35188,14841,3,0,False,False,False,77.3262,2071.36,0.479717,1,1855,17,1074,764,0,0,0,0,1.03878,1.06548,1,1
exact197.gr,FPT-LS-MP,621,35188,14840,3,0,False,False,False,72.4727,1994.03,0.479717,1,1741,15,1004,722,0,0,0,0,1.03771,1.05387,1,1
exact197.gr,FPT-LS-MP,621,35188,14839,3,0,False,False,False,68.2343,1921.56,0.479717,1,1652,15,947,690,0,0,0,0,1.03681,1.06238,1,1
exact197.gr,FPT-LS-MP,621,35188,14835,3,0,False,False,False,53.1482,1673.9,0.479717,1,1356,15,753,588,0,0,0,0,1.03279,1.06604,1,1
exact197.gr,FPT-LS-MP,621,35188,14834,3,0,False,False,False,49.621,1620.75,0.479717,1,1272,15,702,555,0,0,0,0,1.03158,1.02581,1,1
exact197.gr,FPT-LS-MP,621,35188,14833,3,0,False,False,False,47.4844,1571.13,0.479717,1,1240,15,682,543,0,0,0,0,1.03116,1.09347,1,1
exact197.gr,FPT-LS-MP,621,35188,14832,3,0,False,False,False,43.2216,1523.65,0.479717,1,1134,15,614,505,0,0,0,0,1.02919,1.04132,1,1
exact197.gr,FPT-LS-MP,621,35188,14831,3,0,False,False,False,40.9047,1480.43,0.479717,1,1089,15,583,491,0,0,0,0,1.02842,1.05934,1,1
exact197.gr,FPT-LS-MP,621,35188,14830,3,0,False,False,False,38.1324,1439.52,0.479717,1,1028,14,543,471,0,0,0,0,1.02721,1.04365,1,1
exact197.gr,FPT-LS-MP,621,35188,14829,3,0,False,False,False,35.8467,1401.39,0.479717,1,985,14,516,455,0,0,0,0,1.02625,1.02391,1,1
exact197.gr,FPT-LS-MP,621,35188,14828,3,0,False,False,False,34.2624,1365.54,0.479717,1,962,13,498,451,0,0,0,0,1.02573,1.05137,1,1
exact197.gr,FPT-LS-MP,621,35188,14827,3,0,False,False,False,32.3669,1331.28,0.479717,1,915,13,472,430,0,0,0,0,1.02492,1.01329,1,1
exact197.gr,FPT-LS-MP,621,35188,14826,3,0,False,False,False,31.2618,1298.91,0.479717,1,903,13,464,426,0,0,0,0,1.02466,1.01575,1,1
exact197.gr,FPT-LS-MP,621,35188,14825,3,0,False,False,False,30.1644,1267.65,0.479717,1,889,12,454,423,0,0,0,0,1.02437,1.00908,1,1
exact197.gr,FPT-LS-MP,621,35188,14824,3,0,False,False,False,29.136,1237.49,0.479717,1,881,12,449,420,0,0,0,0,1.02412,1.00571,1,1
exact197.gr,FPT-LS-MP,621,35188,14823,3,0,False,False,False,28.2418,1208.35,0.479717,1,876,12,444,420,0,0,0,0,1.02393,1.03669,1,1
exact197.gr,FPT-LS-MP,621,35188,14822,3,0,False,False,False,27.0842,1180.11,0.479717,1,845,12,427,406,0,0,0,0,1.02349,1.01198,1,1
exact197.gr,FPT-LS-MP,621,35188,14821,3,0,False,False,False,26.1461,1153.02,0.479717,1,835,12,421,402,0,0,0,0,1.0232,1.02706,1,1
exact197.gr,FPT-LS-MP,621,35188,14820,3,0,False,False,False,25.1021,1126.88,0.479717,1,813,12,409,392,0,0,0,0,1.02278,1.01119,1,1
exact197.gr,FPT-LS-MP,621,35188,14819,3,0,False,False,False,24.3956,1101.78,0.479717,1,804,12,404,388,0,0,0,0,1.02265,1.00752,1,1
exact197.gr,FPT-LS-MP,621,35188,14818,3,0,False,False,False,23.8946,1077.38,0.479717,1,798,12,401,385,0,0,0,0,1.02268,1.02835,1,1
exact197.gr,FPT-LS-MP,621,35188,14817,3,0,False,False,False,23.1097,1053.49,0.479717,1,776,12,390,374,0,0,0,0,1.02243,1.00518,1,1
exact197.gr,FPT-LS-MP,621,35188,14816,3,0,False,False,False,22.607,1030.38,0.479717,1,772,12,387,373,0,0,0,0,1.02244,1.0118,1,1
exact197.gr,FPT-LS-MP,621,35188,14798,3,0,False,False,False,15.1788,683.904,0.479717,1,555,9,277,269,0,0,0,0,1.0227,1.00726,1,1
exact197.gr,FPT-LS-MP,621,35188,14797,3,0,False,False,False,15.0154,668.725,0.479717,1,551,9,275,267,0,0,0,0,1.02297,1,1,1
exact197.gr,FPT-LS-MP,621,35188,14796,3,0,False,False,False,14.9501,653.71,0.479717,1,551,9,275,267,0,0,0,0,1.0234,1.03377,1,1
exact197.gr,FPT-LS-MP,621,35188,14787,3,0,False,False,False,12.6094,529.457,0.479717,1,463,8,231,224,0,0,0,0,1.0244,1.00434,1,1
exact197.gr,FPT-LS-MP,621,35188,14786,3,0,False,False,False,12.4932,516.848,0.479717,1,461,8,230,223,0,0,0,0,1.02477,1.01319,1,1
exact197.gr,FPT-LS-MP,621,35188,14783,3,0,False,False,False,11.7784,479.811,0.479717,1,433,7,216,210,0,0,0,0,1.02517,1,1,1
exact197.gr,FPT-LS-MP,621,35188,14782,3,0,False,False,False,11.7639,468.032,0.479717,1,433,7,216,210,0,0,0,0,1.02578,1.0285,1,1
exact197.gr,FPT-LS-MP,621,35188,14781,3,0,False,False,False,11.4538,456.269,0.479717,1,421,6,210,205,0,0,0,0,1.02575,1.02433,1,1
exact197.gr,FPT-LS-MP,621,35188,14780,3,0,False,False,False,11.1947,444.815,0.479717,1,411,6,205,200,0,0,0,0,1.02582,1.03526,1,1
exact197.gr,FPT-LS-MP,621,35188,14779,3,0,False,False,False,10.8739,433.62,0.479717,1,397,6,198,193,0,0,0,0,1.02572,1.00506,1,1
exact197.gr,FPT-LS-MP,621,35188,14778,3,0,False,False,False,10.7811,422.746,0.479717,1,395,6,197,192,0,0,0,0,1.02617,1.07046,1,1
exact197.gr,FPT-LS-MP,621,35188,14777,3,0,False,False,False,10.232,411.965,0.479717,1,369,5,184,180,0,0,0,0,1.02547,1.00545,1,1
exact197.gr,FPT-LS-MP,621,35188,14776,3,0,False,False,False,10.1302,401.733,0.479717,1,367,5,183,179,0,0,0,0,1.02587,1.01102,1,1
exact197.gr,FPT-LS-MP,621,35188,14775,3,0,False,False,False,10.0215,391.603,0.479717,1,363,5,181,177,0,0,0,0,1.02626,1,1,1
exact197.gr,FPT-LS-MP,621,35188,14774,3,0,False,False,False,9.98043,381.581,0.479717,1,363,5,181,177,0,0,0,0,1.02686,1.01681,1,1
exact197.gr,FPT-LS-MP,621,35188,14773,3,0,False,False,False,9.80926,371.601,0.479717,1,357,4,178,175,0,0,0,0,1.02711,1.00563,1,1
exact197.gr,FPT-LS-MP,621,35188,14772,3,0,False,False,False,9.71765,361.792,0.479717,1,355,4,177,174,0,0,0,0,1.0276,1.00567,1,1
exact197.gr,FPT-LS-MP,621,35188,14771,3,0,False,False,False,9.62981,352.074,0.479717,1,353,4,176,173,0,0,0,0,1.02812,1.01729,1,1
exact197.gr,FPT-LS-MP,621,35188,14770,3,0,False,False,False,9.44945,342.444,0.479717,1,347,4,173,170,0,0,0,0,1.02838,1.0176,1,1
exact197.gr,FPT-LS-MP,621,35188,14769,3,0,False,False,False,9.27659,332.995,0.479717,1,341,4,170,167,0,0,0,0,1.02866,1.01791,1,1
exact197.gr,FPT-LS-MP,621,35188,14768,3,0,False,False,False,9.08752,323.718,0.479717,1,335,4,167,164,0,0,0,0,1.02888,1.00601,1,1
exact197.gr,FPT-LS-MP,621,35188,14767,3,0,False,False,False,9.0207,314.631,0.479717,1,333,4,166,163,0,0,0,0,1.02952,1,1,1
exact197.gr,FPT-LS-MP,621,35188,14766,3,0,False,False,False,8.99093,305.61,0.479717,1,333,4,166,163,0,0,0,0,1.03031,1.01216,1,1
exact197.gr,FPT-LS-MP,621,35188,14765,3,0,False,False,False,8.85103,296.619,0.479717,1,329,4,164,161,0,0,0,0,1.03076,1.00612,1,1
exact197.gr,FPT-LS-MP,621,35188,14764,3,0,False,False,False,8.77253,287.768,0.479717,1,327,4,163,160,0,0,0,0,1.03145,1.0381,1,1
exact197.gr,FPT-LS-MP,621,35188,14763,3,0,False,False,False,8.49531,278.995,0.479717,1,315,4,157,154,0,0,0,0,1.0314,1,1,1
exact197.gr,FPT-LS-MP,621,35188,14762,3,0,False,False,False,8.51001,270.5,0.479717,1,315,4,157,154,0,0,0,0,1.03248,1.03279,1,1
exact197.gr,FPT-LS-MP,621,35188,14761,3,0,False,False,False,8.25422,261.99,0.479717,1,305,4,152,149,0,0,0,0,1.03253,1.02007,1,1
exact197.gr,FPT-LS-MP,621,35188,14760,3,0,False,False,False,8.03865,253.736,0.479717,1,299,4,149,146,0,0,0,0,1.03272,1,1,1
exact197.gr,FPT-LS-MP,621,35188,14759,3,0,False,False,False,8.01264,245.697,0.479717,1,299,4,149,146,0,0,0,0,1.03371,1,1,1
exact197.gr,FPT-LS-MP,621,35188,14758,3,0,False,False,False,7.99042,237.685,0.479717,1,299,4,149,146,0,0,0,0,1.03479,1.02048,1,1
exact197.gr,FPT-LS-MP,621,35188,14757,3,0,False,False,False,7.83403,229.694,0.479717,1,293,4,146,143,0,0,0,0,1.03531,1.01384,1,1
exact197.gr,FPT-LS-MP,621,35188,14756,3,0,False,False,False,7.71752,221.86,0.479717,1,289,4,144,141,0,0,0,0,1.03604,1.0212,1,1
exact197.gr,FPT-LS-MP,621,35188,14755,3,0,False,False,False,7.55488,214.143,0.479717,1,283,4,141,138,0,0,0,0,1.03657,1.02166,1,1
exact197.gr,FPT-LS-MP,621,35188,14754,3,0,False,False,False,7.39217,206.588,0.479717,1,277,4,138,135,0,0,0,0,1.03711,1.01465,1,1
exact197.gr,FPT-LS-MP,621,35188,14753,3,0,False,False,False,7.27044,199.196,0.479717,1,273,4,136,133,0,0,0,0,1.03788,1.03802,1,1
exact197.gr,FPT-LS-MP,621,35188,14752,3,0,False,False,False,7.01101,191.925,0.479717,1,263,4,131,128,0,0,0,0,1.03791,1,1,1
exact197.gr,FPT-LS-MP,621,35188,14741,3,0,False,False,False,6.07356,118.376,0.479717,1,235,3,117,115,0,0,0,0,1.05409,1.00858,1,1
exact197.gr,FPT-LS-MP,621,35188,14740,3,0,False,False,False,5.98359,112.302,0.479717,1,233,3,116,114,0,0,0,0,1.05627,1.07373,1,1
exact197.gr,FPT-LS-MP,621,35188,14735,3,0,False,False,False,5.20591,84.4992,0.479717,1,201,3,100,98,0,0,0,0,1.06565,1.1105,1,1
exact197.gr,FPT-LS-MP,621,35188,14734,3,0,False,False,False,4.76313,79.2933,0.479717,1,181,3,90,88,0,0,0,0,1.06391,1.04624,1,1
exact197.gr,FPT-LS-MP,621,35188,14733,3,0,False,False,False,4.57162,74.5301,0.479717,1,173,2,86,85,0,0,0,0,1.06535,1.04848,1,1
exact197.gr,FPT-LS-MP,621,35188,14732,3,0,False,False,False,4.36376,69.9585,0.479717,1,165,2,82,81,0,0,0,0,1.06653,1.20438,1,1
exact197.gr,FPT-LS-MP,621,35188,14731,3,0,False,False,False,3.73368,65.5948,0.479717,1,137,2,68,67,0,0,0,0,1.06036,1.03008,1,1
exact197.gr,FPT-LS-MP,621,35188,14730,3,0,False,False,False,3.61465,61.8611,0.479717,1,133,2,66,65,0,0,0,0,1.06206,1,1,1
exact197.gr,FPT-LS-MP,621,35188,14729,3,0,False,False,False,3.58343,58.2464,0.479717,1,133,2,66,65,0,0,0,0,1.06555,1,1,1
exact197.gr,FPT-LS-MP,621,35188,14728,3,0,False,False,False,3.5669,54.663,0.479717,1,133,2,66,65,0,0,0,0,1.06981,1.03101,1,1
exact197.gr,FPT-LS-MP,621,35188,14727,3,0,False,False,False,3.43633,51.0961,0.479717,1,129,2,64,63,0,0,0,0,1.0721,1,1,1
exact197.gr,FPT-LS-MP,621,35188,14726,3,0,False,False,False,3.41692,47.6598,0.479717,1,129,2,64,63,0,0,0,0,1.07723,1.01575,1,1
exact197.gr,FPT-LS-MP,621,35188,14725,3,0,False,False,False,3.32647,44.2429,0.479717,1,127,2,63,62,0,0,0,0,1.0813,1.04959,1,1
exact197.gr,FPT-LS-MP,621,35188,14723,3,0,False,False,False,2.8243,37.7595,0.479717,1,107,2,53,52,0,0,0,0,1.08084,1.03883,1,1
exact197.gr,FPT-LS-MP,621,35188,14722,3,0,False,False,False,2.72567,34.9352,0.479717,1,103,2,51,50,0,0,0,0,1.08462,1,1,1
exact197.gr,FPT-LS-MP,621,35188,14721,3,0,False,False,False,2.70606,32.2095,0.479717,1,103,2,51,50,0,0,0,0,1.09172,1.0404,1,1
exact197.gr,FPT-LS-MP,621,35188,14720,3,0,False,False,False,2.60065,29.5035,0.479717,1,99,2,49,48,0,0,0,0,1.09667,1.04211,1,1
exact197.gr,FPT-LS-MP,621,35188,14711,3,0,False,False,False,1.52436,9.61741,0.479717,1,59,2,29,28,0,0,0,0,1.18835,1.25532,1,1
exact197.gr,FPT-LS-MP,621,35188,14710,3,0,False,False,False,1.25184,8.09305,0.479717,1,47,2,23,22,0,0,0,0,1.18299,1,1,1
exact197.gr,FPT-LS-MP,621,35188,14709,3,0,False,False,False,1.24234,6.84121,0.479717,1,47,2,23,22,0,0,0,0,1.22189,1.42424,1,1
exact197.gr,FPT-LS-MP,621,35188,14708,3,0,False,False,False,0.898711,5.59887,0.479717,1,33,2,16,15,0,0,0,0,1.19121,1,1,1
exact197.gr,FPT-LS-MP,621,35188,14705,3,0,False,False,False,0.694231,3.05361,0.479717,1,27,2,13,12,0,0,0,0,1.29424,1,1,1
exact197.gr,FPT-LS-MP,621,35188,14704,3,0,False,False,False,0.670444,2.35938,0.479717,1,27,2,13,12,0,0,0,0,1.39696,1.42105,1,1
exact195.gr,FPT-LS-MP,621,3992,2063,3,0,False,False,False,123.004,1019.57,0.010724,1,52039,541,29709,21789,0,0,0,0,1.13719,1.14593,1,1
exact195.gr,FPT-LS-MP,621,3992,2062,3,0,False,False,False,106.899,896.567,0.010724,1,45412,506,25836,19070,0,0,0,0,1.13537,1.15127,1,1
exact195.gr,FPT-LS-MP,621,3992,2061,3,0,False,False,False,92.5937,789.669,0.010724,1,39445,460,22339,16646,0,0,0,0,1.13283,1.13684,1,1
exact195.gr,FPT-LS-MP,621,3992,2060,3,0,False,False,False,81.0046,697.075,0.010724,1,34697,434,19566,14697,0,0,0,0,1.13149,1.134,1,1
exact195.gr,FPT-LS-MP,621,3992,2059,3,0,False,False,False,71.0596,616.07,0.010724,1,30597,404,17183,13010,0,0,0,0,1.13038,1.13499,1,1
exact195.gr,FPT-LS-MP,621,3992,2058,3,0,False,False,False,62.3922,545.011,0.010724,1,26958,371,15077,11510,0,0,0,0,1.12928,1.12036,1,1
exact195.gr,FPT-LS-MP,621,3992,2057,3,0,False,False,False,55.2965,482.619,0.010724,1,24062,344,13406,10312,0,0,0,0,1.1294,1.12423,1,1
exact195.gr,FPT-LS-MP,621,3992,2056,3,0,False,False,False,48.9874,427.322,0.010724,1,21403,318,11908,9177,0,0,0,0,1.12948,1.12181,1,1
