Graph,n,m,k,Total Time [s],Solved,First bound,Time first bound [s]
heur001.gr,11,31,10,0.000155579,True,10,3.0896e-05
heur003.gr,121,2588,1387,2113.28,False,1293,0.00507593
heur005.gr,161,4015,2117,2073.71,False,2007,0.00571477
heur007.gr,201,6731,3486,2037.43,False,3365,0.0105862
heur009.gr,251,1450,681,2084.07,False,616,0.00298338
heur011.gr,251,6574,1761,6.1341,True,1760,0.0259398
heur013.gr,251,22395,5807,173.217,True,5805,0.121517
heur015.gr,301,15035,7509,2011.14,False,7379,0.071263
heur017.gr,301,15641,6866,281.588,True,6849,0.0835696
heur019.gr,301,28765,6978,441.45,True,6978,0.155619
heur021.gr,321,13507,4707,263.667,True,4696,0.0946062
heur023.gr,330,16183,5123,141.875,True,5113,0.251787
heur025.gr,330,32168,5050,1800.65,True,5020,0.736181
heur027.gr,331,2256,1021,2622.47,False,983,0.00486845
heur029.gr,331,4329,1981,2055.51,False,1930,0.0233073
heur031.gr,331,7270,3446,2159.4,False,3368,0.0498312
heur033.gr,331,13861,6719,2125.24,False,6572,0.0923996
heur035.gr,346,17798,2982,60.4283,True,2982,0.0588886
heur037.gr,348,31752,8562,2282.9,False,8549,0.466588
heur039.gr,362,13593,4456,561.588,True,4443,0.0917669
heur041.gr,362,25559,3435,95.8618,True,3433,0.166118
heur043.gr,375,20918,8858,2101.68,False,8714,0.214606
heur045.gr,392,11076,5404,2049.49,False,5288,0.134848
heur047.gr,392,33970,14741,2002.52,False,14638,0.419805
heur049.gr,401,28650,13626,2019.29,False,13528,0.664705
heur051.gr,401,32613,7249,1115.83,True,7242,0.241004
heur053.gr,401,70027,8908,1252.07,True,8907,0.864842
heur055.gr,450,10991,3070,2095.22,False,2983,0.0328204
heur057.gr,492,5958,2732,2049.76,False,2638,0.0346417
heur059.gr,492,21375,10835,2109.34,False,10670,0.0798338
heur061.gr,501,39849,20096,2026.72,False,19924,0.100606
heur063.gr,501,48884,23632,2084.65,False,23596,1.01624
heur065.gr,501,62268,31277,2032.06,False,31102,0.886247
heur067.gr,534,14636,2425,90.8544,True,2419,0.0737199
heur069.gr,551,7608,2322,2257.1,False,2224,0.0244206
heur071.gr,552,33998,14228,2159.99,False,14185,1.31039
heur073.gr,602,17026,6189,2098.01,False,6066,0.229105
heur075.gr,621,3992,2067,2195.66,False,1990,0.01327
heur077.gr,621,35188,14834,2010.67,False,14697,0.588204
heur079.gr,620,163863,27073,1800.0,False,27073,0.0
heur081.gr,871,14454,6505,2119.95,False,6452,0.191055
heur083.gr,872,39768,11108,2069.8,False,11097,0.512542
heur085.gr,872,71770,26934,2113.32,False,26925,1.43178
heur087.gr,886,15185,3049,278.297,True,3038,0.0611012
heur089.gr,886,26076,1915,67.0232,True,1909,0.113747
heur091.gr,927,35535,17467,2056.58,False,17305,0.152228
heur093.gr,927,53620,26576,2006.74,False,26418,0.200434
heur095.gr,1052,17922,3938,176.522,True,3931,0.116438
heur097.gr,1052,39275,4034,667.765,True,4025,0.332264
heur099.gr,1191,41737,15463,2133.71,False,15433,1.22812
heur101.gr,1191,91104,23268,2133.96,False,23231,4.67883
heur103.gr,1292,37325,11547,2246.36,False,11533,1.08612
heur105.gr,1293,84278,26707,2242.26,False,26669,6.07945
heur107.gr,1346,24217,5154,806.071,True,5144,0.17149
heur109.gr,1346,56627,21057,2186.43,False,21012,1.87675
heur111.gr,1346,164203,67418,2038.39,False,67282,11.3112
heur113.gr,1387,33470,9248,2200.81,False,9208,0.44239
heur115.gr,1387,66405,24824,2075.69,False,24733,5.58747
heur117.gr,2055,50179,10051,938.444,True,10044,0.734741
heur119.gr,2055,76550,17390,1064.3,False,17369,2.7443
heur121.gr,2055,161088,63961,2107.81,False,63902,9.20022
heur123.gr,2363,71531,13203,2317.85,False,13170,2.29564
heur125.gr,2363,108147,31517,2060.09,False,31473,6.97776
heur127.gr,2832,37570,16523,2086.46,False,16460,1.45215
heur129.gr,2832,689265,343581,2038.7,False,343548,12.0393
heur131.gr,2831,3353846,652019,1800.0,False,652019,0.0
heur133.gr,2832,4005420,445,162.845,True,445,1.75429
heur135.gr,2913,53737,20317,2001.95,False,20269,2.77138
heur137.gr,2913,745066,369968,2063.24,False,369915,17.4504
heur139.gr,2912,3515629,722787,1800.0,False,722787,0.0
heur141.gr,2936,9775,2050,2241.27,False,2031,0.112208
heur143.gr,2937,232022,114568,2065.41,False,114506,4.32274
heur145.gr,2937,2065631,1030813,2016.66,False,1030787,1236.75
heur147.gr,2912,745066,148412,1800.0,False,148412,0.0
heur149.gr,2940,17115,3677,2095.95,False,3652,0.390274
heur151.gr,2940,76493,33539,2091.43,False,33449,5.9035
heur153.gr,2940,288774,141850,2058.62,False,141780,19.9004
heur155.gr,2940,875079,435144,2016.71,False,435099,51.4868
heur159.gr,2939,3533156,784235,1800.0,False,784235,0.0
heur161.gr,2939,4295123,22268,1800.0,False,22268,0.0
heur163.gr,3388,197318,57926,2024.37,False,57854,25.2864
heur165.gr,3388,601686,275614,2142.43,False,275581,31.5844
heur167.gr,5243,14484,4958,2049.1,False,4916,0.307583
heur169.gr,6475,12572,6423,2003.31,False,6283,0.276365
heur171.gr,8718,31525,15833,2099.73,False,15762,1.02577
heur173.gr,9878,25973,11511,2067.19,False,11451,1.40041
heur175.gr,12009,118489,40625,2203.96,False,40593,15.665
heur177.gr,22688,54705,27376,2008.36,False,27341,3.44161
heur179.gr,36693,183831,87586,2023.72,False,87565,26.8585
