Graph,Algorithm,n,m,k,l,Permutation,Solved,MT,All Solutions,Time [s],Total Time [s],Time Initialization [s],Threads,Calls,Extra_lbs,Fallbacks,Prunes,Single,Skipped,Stolen,Solutions,Scaling Factor Time,Scaling Factor Calls,Speedup,Efficiency
heur179.gr,FPT-LS-MP,36693,183831,87586,3,0,False,False,False,203.038,2023.72,26.8585,1,53,6,26,21,0,0,0,0,1.11152,1,1,1
heur179.gr,FPT-LS-MP,36693,183831,87585,3,0,False,False,False,202.414,1820.68,26.8585,1,53,6,26,21,0,0,0,0,1.12508,1.03922,1,1
heur179.gr,FPT-LS-MP,36693,183831,87584,3,0,False,False,False,195.086,1618.27,26.8585,1,51,6,25,20,0,0,0,0,1.13708,1.18605,1,1
heur179.gr,FPT-LS-MP,36693,183831,87583,3,0,False,False,False,166.964,1423.18,26.8585,1,43,6,21,16,0,0,0,0,1.13291,1.10256,1,1
heur179.gr,FPT-LS-MP,36693,183831,87582,3,0,False,False,False,152.977,1256.22,26.8585,1,39,6,19,14,0,0,0,0,1.13866,1.05405,1,1
heur179.gr,FPT-LS-MP,36693,183831,87581,3,0,False,False,False,145.016,1103.24,26.8585,1,37,6,18,13,0,0,0,0,1.15133,1.12121,1,1
heur179.gr,FPT-LS-MP,36693,183831,87580,3,0,False,False,False,129.985,958.227,26.8585,1,33,6,16,11,0,0,0,0,1.15694,1,1,1
heur179.gr,FPT-LS-MP,36693,183831,87579,3,0,False,False,False,124.872,828.242,26.8585,1,33,6,16,11,0,0,0,0,1.17754,1.22222,1,1
heur179.gr,FPT-LS-MP,36693,183831,87578,3,0,False,False,False,102.844,703.369,26.8585,1,27,6,13,8,0,0,0,0,1.17126,1.08,1,1
heur179.gr,FPT-LS-MP,36693,183831,87577,3,0,False,False,False,92.4424,600.525,26.8585,1,25,6,12,7,0,0,0,0,1.18195,1,1,1
heur179.gr,FPT-LS-MP,36693,183831,87576,3,0,False,False,False,92.0017,508.082,26.8585,1,25,6,12,7,0,0,0,0,1.22111,1,1,1
heur179.gr,FPT-LS-MP,36693,183831,87575,3,0,False,False,False,91.9238,416.081,26.8585,1,25,6,12,7,0,0,0,0,1.28358,1.19048,1,1
heur179.gr,FPT-LS-MP,36693,183831,87574,3,0,False,False,False,78.0865,324.157,26.8585,1,21,5,10,6,0,0,0,0,1.31734,1.4,1,1
heur179.gr,FPT-LS-MP,36693,183831,87573,3,0,False,False,False,57.441,246.07,26.8585,1,15,5,7,3,0,0,0,0,1.30452,1.15385,1,1
