graph,k,time
exact001.gr,3,0.000521396
exact003.gr,42,0.00215274
exact005.gr,46,0.00212273
exact007.gr,86,0.00295572
exact009.gr,90,0.00299888
exact011.gr,81,0.00244506
exact013.gr,181,0.0050455
exact015.gr,164,0.00423481
exact017.gr,236,0.00678611
exact019.gr,298,0.007974
exact021.gr,322,0.00633108
exact023.gr,281,0.00577623
exact025.gr,439,0.0081449
exact027.gr,432,0.0089028
exact029.gr,509,0.010491
exact031.gr,285,0.00863044
exact033.gr,672,0.0134034
exact035.gr,385,0.010983
exact037.gr,703,0.0143614
exact039.gr,665,0.0124722
exact041.gr,184,0.0108994
exact043.gr,984,0.0191842
exact045.gr,1085,0.0195557
exact047.gr,749,0.018002
exact049.gr,854,0.0167132
exact051.gr,1619,0.0478413
exact053.gr,1481,0.0277357
exact055.gr,1410,0.0277142
exact057.gr,122,0.00666912
exact059.gr,976,0.0212993
exact061.gr,116,0.00621819
exact063.gr,665,0.0156215
exact065.gr,128,0.0213279
exact067.gr,792,0.0185188
exact069.gr,2140,0.0553472
exact071.gr,2131,0.0495005
exact073.gr,1612,0.0304426
exact075.gr,132,0.00760596
exact077.gr,78,0.0130456
exact079.gr,48,0.00527711
exact081.gr,2042,0.0364919
exact083.gr,2939,0.0578021
exact085.gr,1047,0.0305584
exact087.gr,3243,0.0515019
exact089.gr,534,0.0161766
exact091.gr,3234,0.0725195
exact093.gr,3842,0.0548004
exact095.gr,358,0.0338422
exact097.gr,95,0.0204714
exact099.gr,650,0.0292964
exact101.gr,4198,0.0703214
exact103.gr,4572,0.0975895
exact105.gr,5320,0.103856
exact107.gr,274,0.017207
exact109.gr,2436,0.0387354
exact111.gr,2412,0.0538764
exact113.gr,999,0.0526155
exact115.gr,306,0.0134079
exact117.gr,2777,0.0511826
exact119.gr,184,0.0116327
exact121.gr,742,0.027153
exact123.gr,416,0.0151763
exact125.gr,1413,0.0359051
exact127.gr,130,0.0169206
exact129.gr,2211,0.0518527
exact131.gr,386,0.0283978
exact133.gr,4836,0.0759711
exact135.gr,772,0.0276034
exact137.gr,16,0.0210584
exact139.gr,5514,0.0780787
exact141.gr,697,0.0328391
exact143.gr,1475,0.0361163
exact145.gr,1761,0.0378877
exact147.gr,3975,0.0742734
exact149.gr,5807,0.0806747
exact151.gr,1258,0.0728031
exact153.gr,6,0.0650226
exact155.gr,63,0.0169627
exact157.gr,1117,0.0286779
exact159.gr,1483,0.0714347
exact161.gr,333,0.0283103
exact163.gr,1538,0.039094
exact165.gr,6094,0.0921702
exact167.gr,9861,0.195186
exact169.gr,9561,0.167186
exact171.gr,2901,0.111069
exact173.gr,100,0.0151718
exact175.gr,557,0.0261936
exact177.gr,4089,0.0804418
exact179.gr,633,0.338844
exact181.gr,1565,1.09991
exact183.gr,2791,0.115141
exact185.gr,203,0.0193081
exact187.gr,3814,0.0687003
exact189.gr,8563,0.161932
exact191.gr,18427,0.282722
exact193.gr,20429,0.281102
exact195.gr,2532,3.57802
exact197.gr,15831,0.318276
exact199.gr,27073,0.517876
