graph,k,time
exact001.gr,3,3.3235e-05
exact003.gr,42,8.4315e-05
exact005.gr,47,5.0274e-05
exact007.gr,86,5.7266e-05
exact009.gr,90,5.9792e-05
exact011.gr,81,5.3884e-05
exact013.gr,182,7.5591e-05
exact015.gr,164,7.0941e-05
exact017.gr,238,8.9159e-05
exact019.gr,305,0.000150197
exact021.gr,322,9.6202e-05
exact023.gr,281,9.2038e-05
exact025.gr,439,0.000113309
exact027.gr,432,0.000146981
exact029.gr,509,0.000118303
exact031.gr,285,0.000120735
exact033.gr,672,0.000151868
exact035.gr,385,0.000143051
exact037.gr,704,0.000173435
exact039.gr,665,0.000165294
exact041.gr,184,0.000140474
exact043.gr,989,0.00021227
exact045.gr,1085,0.000223229
exact047.gr,749,0.000244086
exact049.gr,854,0.000181702
exact051.gr,1649,0.000299569
exact053.gr,1514,0.000294127
exact055.gr,1410,0.000296373
exact057.gr,122,0.000101836
exact059.gr,976,0.000218943
exact061.gr,116,9.0834e-05
exact063.gr,665,0.000213621
exact065.gr,128,0.000263585
exact067.gr,792,0.000213766
exact069.gr,2162,0.000351638
exact071.gr,2140,0.000401454
exact073.gr,1612,0.00039056
exact075.gr,132,0.000110351
exact077.gr,78,0.000153254
exact079.gr,48,0.000118507
exact081.gr,2152,0.000317179
exact083.gr,2991,0.000480748
exact085.gr,1047,0.000381907
exact087.gr,3243,0.000529354
exact089.gr,544,0.000195613
exact091.gr,3265,0.000487685
exact093.gr,3860,0.000571459
exact095.gr,358,0.000391745
exact097.gr,95,0.000137943
exact099.gr,654,0.000230185
exact101.gr,4223,0.000653829
exact103.gr,4576,0.000680048
exact105.gr,5336,0.000925841
exact107.gr,275,0.000182551
exact109.gr,2436,0.000408643
exact111.gr,2412,0.000516029
exact113.gr,999,0.000520033
exact115.gr,312,0.00016135
exact117.gr,2777,0.000517632
exact119.gr,184,0.000163843
exact121.gr,742,0.000320022
exact123.gr,416,0.000197978
exact125.gr,1413,0.000426082
exact127.gr,131,0.000184092
exact129.gr,2211,0.00039449
exact131.gr,386,0.000199403
exact133.gr,4836,0.000897245
exact135.gr,772,0.000270186
exact137.gr,16,0.000254601
exact139.gr,5517,0.000775933
exact141.gr,700,0.000288816
exact143.gr,1476,0.00031951
exact145.gr,1776,0.000434378
exact147.gr,3975,0.000622228
exact149.gr,5807,0.000812515
exact151.gr,1258,0.000853094
exact153.gr,6,0.00071679
exact155.gr,63,0.000160255
exact157.gr,1117,0.000324252
exact159.gr,1483,0.000789925
exact161.gr,333,0.000232354
exact163.gr,1538,0.000430665
exact165.gr,6094,0.00101369
exact167.gr,9870,0.00129829
exact169.gr,9666,0.00133504
exact171.gr,2901,0.00136046
exact173.gr,100,0.000213455
exact175.gr,557,0.000286504
exact177.gr,4089,0.000876513
exact179.gr,642,0.000322363
exact181.gr,1602,0.000404527
exact183.gr,2836,0.000527515
exact185.gr,203,0.00022376
exact187.gr,3814,0.000676001
exact189.gr,8563,0.00158311
exact191.gr,18769,0.00239083
exact193.gr,20429,0.00299002
exact195.gr,2638,0.000784826
exact197.gr,15887,0.00211709
exact199.gr,27073,0.00506864
