graph,opt,upper,lower,timeout
exact001.gr,3.0,3.0,3.0,10m
exact003.gr,42.0,43.0,34.0,10m
exact005.gr,46.0,50.0,41.0,10m
exact007.gr,86.0,92.0,69.0,10m
exact009.gr,90.0,91.0,79.0,10m
exact011.gr,81.0,81.0,81.0,10m
exact013.gr,-1,199.0,143.0,10m
exact015.gr,164.0,169.0,154.0,10m
exact017.gr,-1,263.0,184.0,10m
exact019.gr,-1,322.0,237.0,10m
exact021.gr,322.0,324.0,310.0,10m
exact023.gr,281.0,281.0,276.0,10m
exact025.gr,439.0,452.0,427.0,10m
exact027.gr,-1,437.0,383.0,10m
exact029.gr,-1,531.0,477.0,10m
exact031.gr,285.0,285.0,285.0,10m
exact033.gr,-1,673.0,640.0,10m
exact035.gr,385.0,397.0,384.0,10m
exact037.gr,-1,743.0,617.0,10m
exact039.gr,-1,688.0,637.0,10m
exact041.gr,184.0,184.0,184.0,10m
exact043.gr,-1,1025.0,787.0,10m
exact045.gr,-1,1160.0,945.0,10m
exact047.gr,749.0,749.0,749.0,10m
exact049.gr,854.0,854.0,837.0,10m
exact051.gr,-1,1794.0,1111.0,10m
exact053.gr,-1,1580.0,1259.0,10m
exact055.gr,-1,1494.0,1377.0,10m
exact057.gr,122.0,123.0,118.0,10m
exact059.gr,-1,987.0,935.0,10m
exact061.gr,116.0,116.0,116.0,10m
exact063.gr,665.0,860.0,655.0,10m
exact065.gr,128.0,128.0,128.0,10m
exact067.gr,792.0,798.0,788.0,10m
exact069.gr,-1,2332.0,1427.0,10m
exact071.gr,-1,2180.0,2012.0,10m
exact073.gr,1612.0,1612.0,1611.0,10m
exact075.gr,132.0,132.0,132.0,10m
exact077.gr,78.0,78.0,78.0,10m
exact079.gr,48.0,48.0,48.0,10m
exact081.gr,-1,2387.0,1721.0,10m
exact083.gr,-1,3243.0,2090.0,10m
exact085.gr,1047.0,2147483647.0,1046.0,10m
exact087.gr,-1,2147483647.0,3093.0,10m
exact089.gr,534.0,534.0,523.0,10m
exact091.gr,-1,3820.0,2269.0,10m
exact093.gr,-1,4366.0,3154.0,10m
exact095.gr,358.0,358.0,358.0,10m
exact097.gr,96.0,98.0,90.0,10m
exact099.gr,-1,659.0,565.0,10m
exact101.gr,-1,4784.0,3278.0,10m
exact103.gr,-1,5049.0,3450.0,10m
exact105.gr,-1,6328.0,5216.0,10m
exact107.gr,-1,282.0,223.0,10m
exact109.gr,-1,2570.0,2406.0,10m
exact111.gr,2412.0,2147483647.0,2409.0,10m
exact113.gr,999.0,999.0,999.0,10m
exact115.gr,306.0,306.0,297.0,10m
exact117.gr,-1,2866.0,2657.0,10m
exact119.gr,184.0,184.0,184.0,10m
exact121.gr,742.0,884.0,742.0,10m
exact123.gr,416.0,416.0,415.0,10m
exact125.gr,1413.0,1419.0,1405.0,10m
exact127.gr,130.0,130.0,129.0,10m
exact129.gr,-1,2211.0,2165.0,10m
exact131.gr,-1,394.0,343.0,10m
exact133.gr,-1,4864.0,4829.0,10m
exact135.gr,773.0,794.0,771.0,10m
exact137.gr,16.0,16.0,16.0,10m
exact139.gr,-1,2147483647.0,5439.0,10m
exact141.gr,-1,739.0,602.0,10m
exact143.gr,-1,1585.0,1413.0,10m
exact145.gr,1761.0,1808.0,1751.0,10m
exact147.gr,-1,4153.0,3916.0,10m
exact149.gr,-1,2147483647.0,5796.0,10m
exact151.gr,1258.0,1258.0,1258.0,10m
exact153.gr,6.0,6.0,6.0,10m
exact155.gr,63.0,63.0,63.0,10m
exact157.gr,-1,1173.0,1078.0,10m
exact159.gr,1483.0,1483.0,1481.0,10m
exact161.gr,-1,2147483647.0,319.0,10m
exact163.gr,1538.0,1572.0,1531.0,10m
exact165.gr,6094.0,2147483647.0,6094.0,10m
exact167.gr,-1,2147483647.0,7027.0,10m
exact169.gr,-1,2147483647.0,7540.0,10m
exact171.gr,2901.0,3002.0,2901.0,10m
exact173.gr,-1,100.0,99.0,10m
exact175.gr,558.0,584.0,553.0,10m
exact177.gr,-1,4741.0,4026.0,10m
exact179.gr,-1,654.0,553.0,10m
exact181.gr,-1,1649.0,1352.0,10m
exact183.gr,-1,3206.0,2453.0,10m
exact185.gr,203.0,203.0,198.0,10m
exact187.gr,-1,4109.0,3462.0,10m
exact189.gr,-1,8746.0,8530.0,10m
exact191.gr,-1,-1,-1,10m
exact193.gr,-1,-1,-1,10m
exact195.gr,-1,2768.0,1924.0,10m
exact197.gr,-1,-1,-1,10m
exact199.gr,-1,-1,-1,10m
